statename,stateabb,year,imports,exports
United States of America,USA,2002,1202414.8,693254.6
Canada,CAN,2002,244187.4472,252382.5695
Bahamas,BHM,2002,5851.706572,1220.051111
Cuba,CUB,2002,2999.274179,1510.094968
Haiti,HAI,2002,757.833407,291.1192635
Dominican Republic,DOM,2002,9721.468473,5164.9716
Jamaica,JAM,2002,3566.317979,1118.735621
Trinidad and Tobago,TRI,2002,3660.413982,3850.774575
Barbados,BAR,2002,1070.77275,241.47755
Dominica,DMA,2002,204.7048654,60.61300937
Grenada,GRN,2002,202.7423686,56.24613761
St. Lucia,SLU,2002,566.7729126,68.10901705
St. Vincent and the Grenadines,SVG,2002,178.4907404,39.29558259
Antigua & Barbuda,AAB,2002,,759.3411378
St. Kitts and Nevis,SKN,2002,187.4448263,68.37383751
Mexico,MEX,2002,185546.7748,161045.9796
Belize,BLZ,2002,479.2888057,195.4542273
Guatemala,GUA,2002,7658.617934,4162.043249
Honduras,HON,2002,3081.851091,1239.805822
El Salvador,SAL,2002,5184.451767,2995.038207
Nicaragua,NIC,2002,1753.73384,561.0302561
Costa Rica,COS,2002,7187.843937,5263.39229
Panama,PAN,2002,3035.73749,760.301404
Colombia,COL,2002,12284.48462,11576.16119
Venezuela,VEN,2002,15003.71613,26641.19927
Guyana,GUY,2002,555.4788282,543.7907771
Suriname,SUR,2002,213.8570115,185.3783446
Ecuador,ECU,2002,5952.660865,5038.001676
Peru,PER,2002,8153.628916,7648.236833
Brazil,BRA,2002,51955.64212,60354.35329
Bolivia,BOL,2002,1831.969321,1374.888167
Paraguay,PAR,2002,1661.033733,2328.799961
Chile,CHL,2002,17013.6,18285.1
Argentina,ARG,2002,8989.545353,25709.37103
Uruguay,URU,2002,2582.59655,2181.576269
United Kingdom,UKG,2002,335342.5717,275802.5588
Ireland,IRE,2002,51427.282,87787.45
Netherlands,NTH,2002,218787.2598,243203.4168
Belgium,BEL,2002,197512.52,213506.9414
Luxembourg,LUX,2002,13145.7955,10190.6837
France,FRN,2002,328309.4889,331121.5389
Monaco,MNC,2002,,
Liechtenstein,LIE,2002,,
Switzerland,SWZ,2002,87188.06967,91697.71767
Spain,SPN,2002,154755.5784,118223.3867
Andorra,AND,2002,,
Portugal,POR,2002,38342.2064,25542.649
Germany,GMY,2002,493637.955,613059.033
Poland,POL,2002,55112.2754,41009.1415
Austria,AUS,2002,78076.0982,78515.0456
Hungary,HUN,2002,37321.553,33959.789
Czech Republic,CZR,2002,43941.98251,38080.46495
Slovakia,SLO,2002,18146.43322,14366.49046
Italy,ITA,2002,243000.541,251215.58
San Marino,SNM,2002,,
Malta,MLT,2002,2828.082363,2215.356832
Albania,ALB,2002,1501.550579,338.843627
Montenegro,MNG,2002,,
Macedonia,MAC,2002,1995.147023,1115.273735
Croatia,CRO,2002,10722.04506,4903.584487
Yugoslavia,YUG,2002,,
Bosnia and Herzegovina,BOS,2002,3376.822922,840.6454273
Slovenia,SLV,2002,10932.45912,10356.96978
Greece,GRC,2002,31318.9089,10332.4635
Cyprus,CYP,2002,4086.436126,849.7150888
Bulgaria,BUL,2002,7830.489,5630.927
Moldova,MLD,2002,1038.0002,643.0052
Romania,ROM,2002,17820.36,13874.02
Russia,RUS,2002,45507.47894,107224.3837
Estonia,EST,2002,5865.44,4341.99
Latvia,LAT,2002,4040.748891,2312.801499
Lithuania,LIT,2002,7709.4028,5476.8962
Ukraine,UKR,2002,16976.71685,17957.09485
Belarus,BLR,2002,9092.3411,8020.8067
Armenia,ARM,2002,986.761783,504.473099
Georgia,GRG,2002,792.299784,349.4053259
Azerbaijan,AZE,2002,1665.47828,2166.7195
Finland,FIN,2002,33367.8622,44837.5875
Sweden,SWD,2002,67450.87699,82894.06687
Norway,NOR,2002,34155.91223,60523.73491
Denmark,DEN,2002,48644.28172,56025.35958
Iceland,ICE,2002,2275.061573,2231.189903
Cape Verde,CAP,2002,,
Sao Tome and Principe,STP,2002,61.77039133,8.666815192
Guinea-Bissau,GNB,2002,102.3784946,95.593839
Equatorial Guinea,EQG,2002,443.2102331,1735.990433
Gambia,GAM,2002,405.6139989,31.27352583
Mali,MLI,2002,1381.556823,160.5644786
Senegal,SEN,2002,1957.524905,948.6949269
Benin,BEN,2002,720.8827716,241.7165311
Mauritania,MAA,2002,879.008136,544.9815399
Niger,NIR,2002,395.6987248,168.6321609
Ivory Coast,CDI,2002,2601.126649,4963.422966
Guinea,GUI,2002,879.6728668,828.1505585
Burkina Faso,BFO,2002,577.0905417,162.6479464
Liberia,LBR,2002,5030.118277,1072.983019
Sierra Leone,SIE,2002,495.3679859,105.5914447
Ghana,GHA,2002,3009.659517,1652.762362
Togo,TOG,2002,402.9780642,249.1035316
Cameroon,CAO,2002,1805.750725,1800.564183
Nigeria,NIG,2002,8746.85677,18572.07787
Gabon,GAB,2002,1142.239274,3061.747554
Central African Republic,CEN,2002,140.867818,212.369218
Chad,CHA,2002,460.8076577,63.88173066
Congo,CON,2002,629.9661855,2396.142419
Democratic Republic of the Congo,DRC,2002,921.5773378,1337.202462
Uganda,UGA,2002,1073.587604,467.6031599
Kenya,KEN,2002,3270.232465,2149.442556
Tanzania,TAZ,2002,1749.466652,948.8704427
Burundi,BUI,2002,130.0567369,31.01598254
Rwanda,RWA,2002,303.0785406,145.4658356
Somalia,SOM,2002,391.2707778,114.530831
Djibouti,DJI,2002,670.8681686,208.852423
Ethiopia,ETH,2002,1567.612087,421.4641894
Eritrea,ERI,2002,,
Angola,ANG,2002,3056.416573,7220.223084
Mozambique,MZM,2002,1269.667991,682.0203206
Zambia,ZAM,2002,1071.936057,875.2569368
Zimbabwe,ZIM,2002,2323.111019,2007.218134
Malawi,MAW,2002,588.0306301,429.8653387
South Africa,SAF,2002,28545.08108,29900.64618
Namibia,NAM,2002,,806.5797087
Lesotho,LES,2002,,357.3379912
Botswana,BOT,2002,,1775.376549
Swaziland,SWA,2002,,511.9789262
Madagascar,MAG,2002,579.4432373,667.6723542
Comoros,COM,2002,96.51996816,28.54203147
Mauritius,MAS,2002,2165.877324,1746.414213
Seychelles,SEY,2002,414.523026,174.8164549
Morocco,MOR,2002,11832.68564,7838.893495
Algeria,ALG,2002,11808.72208,18838.7058
Tunisia,TUN,2002,9503.118259,6856.682581
Libya,LIB,2002,5537.717834,9868.152745
Sudan,SUD,2002,2165.253621,1922.224078
Iran,IRN,2002,20437.82216,22174.30823
Turkey,TUR,2002,51554.36944,36059.28168
Iraq,IRQ,2002,6083.691314,9138.516727
Egypt,EGY,2002,12496.05999,4678.20247
Syria,SYR,2002,7201.491829,6676.532231
Lebanon,LEB,2002,6444.732458,991.9624697
Jordan,JOR,2002,5076.391003,2770.018234
Israel,ISR,2002,33106.3,29513.3
Saudi Arabia,SAU,2002,32290.26213,65423.95089
Yemen,YEM,2002,2777.111311,3274.599875
Kuwait,KUW,2002,8803.034175,15502.25571
Bahrain,BAH,2002,3841.217794,8439.177266
Qatar,QAT,2002,4052.026527,10978.11478
United Arab Emirates,UAE,2002,30352.6,38835.10044
Oman,OMA,2002,6005.403761,11072.13577
Afghanistan,AFG,2002,1034.680048,87.98056142
Turkmenistan,TKM,2002,2128.091499,2815.746142
Tajikistan,TAJ,2002,720.5,736.9
Kyrgyzstan,KYR,2002,587.16,485.51
Uzbekistan,UZB,2002,2075.624926,1553.205816
Kazakhstan,KZK,2002,6595.4532,9670.8018
China,CHN,2002,505993.5625,528433.375
Mongolia,MON,2002,690.3801,523.9039
Taiwan,TAW,2002,,162704.4337
North Korea,PRK,2002,2256.745198,936.3929827
South Korea,ROK,2002,152125.3155,162322.2611
Japan,JPN,2002,337179.8093,416796.717
India,IND,2002,58912.42492,50496.25603
Bhutan,BHU,2002,,
Pakistan,PAK,2002,11238.12994,9880.564381
Bangladesh,BNG,2002,7847.779251,5443.255637
Myanmar,MYA,2002,2970.40759,2755.86561
Sri Lanka,SRI,2002,6021.823965,4678.375278
Maldives,MAD,2002,390.7235808,90.70605075
Nepal,NEP,2002,1395.6,610.3
Thailand,THI,2002,64720.76419,68849.79068
Cambodia,CAM,2002,1604.4,1919.546889
Laos,LAO,2002,724.9805186,386.1040378
Vietnam,DRV,2002,19745.6,16706.1
Malaysia,MAL,2002,79514.84837,93388.24918
Singapore,SIN,2002,116482.5034,125219.2624
Brunei,BRU,2002,1628.121422,3439.127255
Philippines,PHI,2002,35426.06648,35208.12836
Indonesia,INS,2002,31288.8529,57158.7708
East Timor,ETM,2002,,
Australia,AUL,2002,76513.73291,65222.18341
Papua New Guinea,PNG,2002,1193.856272,2667.730831
New Zealand,NEW,2002,15097.75778,14186.62852
Vanuatu,VAN,2002,132.6255379,56.30640573
Solomon Islands,SOL,2002,100.5266785,94.57670377
Kiribati,KIR,2002,,37.362113
Tuvalu,TUV,2002,,1.382575862
Fiji,FIJ,2002,845.6768183,620.8954891
Tonga,TON,2002,87.05955523,27.7441017
Nauru,NAU,2002,,14.70189471
Marshall Islands,MSI,2002,,
Palau,PAL,2002,,
Federated States of Micronesia,FSM,2002,,
Samoa,WSM,2002,179.1289737,77.71192147
