statename,stateabb,year,imports,exports
Saudi Arabia,SAU,1992,33272.65527,50287.46809
Yemen,YEM,1992,2611.278102,329.6582423
Kuwait,KUW,1992,7259.1,4547.755964
Bahrain,BAH,1992,4556.049269,1872.591476
Qatar,QAT,1992,2020.830769,3623.636892
United Arab Emirates,UAE,1992,17414,22729.13129
Oman,OMA,1992,3770.182645,5455.695948
Afghanistan,AFG,1992,398.2444451,181.3190225
Turkmenistan,TKM,1992,141.4857194,64.3398703
Tajikistan,TAJ,1992,72.94840401,29.31854219
Kyrgyzstan,KYR,1992,418.4,314.9
Uzbekistan,UZB,1992,300.0849481,161.5642881
Kazakhstan,KZK,1992,459.5490498,244.4429174
China,CHN,1992,81871.51915,85617.88156
Mongolia,MON,1992,418.3,388.4
Taiwan,TAW,1992,,89256.61465
North Korea,PRK,1992,1395.189865,845.666673
South Korea,ROK,1992,82950.768,77334.369
Japan,JPN,1992,232907.4503,339952.8725
India,IND,1992,23196.56926,19230.10597
Bhutan,BHU,1992,,
Pakistan,PAK,1992,9375.042589,7268.663475
Bangladesh,BNG,1992,3730.840748,2037.466815
Myanmar,MYA,1992,1045.812316,683.5727634
Sri Lanka,SRI,1992,3472.8,2766.576
Maldives,MAD,1992,189.28,39.648
Nepal,NEP,1992,476.9039519,352.893971
Thailand,THI,1992,40686.41007,32454.94295
Cambodia,CAM,1992,751.1533285,165.3477943
Laos,LAO,1992,258.3635821,103.4622468
Vietnam,DRV,1992,3027.25,2917.68
Malaysia,MAL,1992,39934.51346,40707.40216
Singapore,SIN,1992,72177.2417,63472.25135
Brunei,BRU,1992,2416.0288,3913.409
Philippines,PHI,1992,14568.65228,9834.541768
Indonesia,INS,1992,27279.71096,33982.30059
Australia,AUL,1992,44815.93098,42491.83737
Papua New Guinea,PNG,1992,1445.812555,1699.48
New Zealand,NEW,1992,9201.345,9378.014
Vanuatu,VAN,1992,108.643849,38.58505374
Solomon Islands,SOL,1992,181.866265,131.5048113
Kiribati,KIR,1992,,3.344860992
Tuvalu,TUV,1992,,5.715660782
Fiji,FIJ,1992,630.315,418.029
Tonga,TON,1992,62.55628981,12.92277783
Nauru,NAU,1992,,57.87283065
Marshall Islands,MSI,1992,,
Federated States of Micronesia,FSM,1992,,
Samoa,WSM,1992,110.6726991,5.803287005
