statename,stateabb,year,imports,exports
United States of America,USA,2008,2165980.9,1300081.5
Canada,CAN,2008,449091.4968,456419.3603
Bahamas,BHM,2008,13917.8856,2697.732793
Cuba,CUB,2008,13853.14577,3084.505833
Haiti,HAI,2008,3073.462111,601.2752337
Dominican Republic,DOM,2008,17592.51883,6748.033884
Jamaica,JAM,2008,8397.389312,2438.810374
Trinidad and Tobago,TRI,2008,9211.26134,19505.36449
Barbados,BAR,2008,2090.595007,445.779973
Dominica,DMA,2008,704.6612636,192.6587236
Grenada,GRN,2008,474.2812564,94.79036286
St. Lucia,SLU,2008,4863.503075,126.0963946
St. Vincent and the Grenadines,SVG,2008,795.8382548,310.7226651
Antigua & Barbuda,AAB,2008,,246.4419804
St. Kitts and Nevis,SKN,2008,512.2727551,84.66603186
Mexico,MEX,2008,339463.575,291342.5959
Belize,BLZ,2008,1030.18759,441.739267
Guatemala,GUA,2008,14380.8114,7651.7346
Honduras,HON,2008,8813.492588,2832.984285
El Salvador,SAL,2008,9754.387691,4549.054304
Nicaragua,NIC,2008,4337.75575,1488.653144
Costa Rica,COS,2008,15372.03386,9503.409568
Panama,PAN,2008,8923.354913,1146.588009
Colombia,COL,2008,39668.82647,37625.82806
Venezuela,VEN,2008,46938.30191,95138
Guyana,GUY,2008,1432.234256,1007.366002
Suriname,SUR,2008,512.5567513,615.3108187
Ecuador,ECU,2008,18635.68666,18455.42365
Peru,PER,2008,31190.11074,31207.61863
Brazil,BRA,2008,190437.536,197942.4179
Bolivia,BOL,2008,5099.781771,6932.920013
Paraguay,PAR,2008,9372.03545,6379.977379
Chile,CHL,2008,62787.40039,64510.12079
Argentina,ARG,2008,57462.45235,70018.83944
Uruguay,URU,2008,10299.09881,7088.233544
United Kingdom,UKG,2008,659914.955,472914.5367
Ireland,IRE,2008,84130.0904,125630.3283
Netherlands,NTH,2008,581609.1513,638622.4864
Belgium,BEL,2008,467378.3076,473341.3277
Luxembourg,LUX,2008,32169.0871,25691.2734
France,FRN,2008,717888.4846,617060.2262
Switzerland,SWZ,2008,183192.2917,200334.0882
Spain,SPN,2008,422684.086,280988.7879
Portugal,POR,2008,94628.2772,57373.3999
Germany,GMY,2008,1185755.2,1449262.02
German Democratic Republic,GDR,2008,,
Poland,POL,2008,209409.4277,171067.8695
Austria,AUS,2008,184500.5344,181736.4085
Hungary,HUN,2008,109232.6144,108334.9897
Czechoslovakia,CZE,2008,,
Czech Republic,CZR,2008,142245.5538,147247.497
Slovakia,SLO,2008,73978.0196,71240.4803
Italy,ITA,2008,556302.0111,539670.8803
Malta,MLT,2008,5324.6645,3472.191
Albania,ALB,2008,5243.412223,1341.832962
Montenegro,MNG,2008,3613.871035,606.9470702
Macedonia,MAC,2008,6851.672093,3978.230781
Croatia,CRO,2008,30740.321,14020.582
Yugoslavia,YUG,2008,,
Bosnia and Herzegovina,BOS,2008,9759.56664,3583.923071
Slovenia,SLV,2008,37131.9571,34240.3992
Greece,GRC,2008,95680.3484,31412.5167
Cyprus,CYP,2008,10675.2494,1638.1434
Bulgaria,BUL,2008,37032.4363,22493.8733
Moldova,MLD,2008,4890.4898,1579.992
Romania,ROM,2008,84315.4496,49698.9537
Russia,RUS,2008,266993.4824,459752.3333
Estonia,EST,2008,16061.7564,12474.4076
Latvia,LAT,2008,16184.4238,10075.7477
Lithuania,LIT,2008,31267.0831,23746.0754
Ukraine,UKR,2008,85533.2532,66883.0611
Belarus,BLR,2008,39381.2515,32570.7805
Armenia,ARM,2008,4426.128614,1057.161433
Georgia,GRG,2008,6304.432114,1496.060395
