country,id,year,imports,exports
United States of America,USA,2003,1305311.5,723791.5
Canada,CAN,2003,263342.5214,271594.484
Bahamas,BHS,2003,5575.778984,1428.476501
Cuba,CUB,2003,2954.911016,1601.18379
Haiti,HTI,2003,744.9245043,378.3388833
Dominican Republic,DOM,2003,8389.478403,5470.853
Jamaica,JAM,2003,3672.2047,1194.781919
Trinidad and Tobago,TTO,2003,3629.253387,6562.230705
Barbados,BRB,2003,1202.095833,193.0148975
Dominica,DMA,2003,200.7016815,60.96161855
Grenada,GRD,2003,241.217855,54.71079408
St. Lucia,LCA,2003,342.3377417,51.91954425
St. Vincent and the Grenadines,VCT,2003,201.2612822,38.09190926
Antigua & Barbuda,ATG,2003,,403.4357135
St. Kitts and Nevis,KNA,2003,240.1531572,69.50145757
Mexico,MEX,2003,187600.4264,164766.4376
Belize,BLZ,2003,549.6497375,289.2506862
Guatemala,GTM,2003,8127.7184,4459.4124
Honduras,HND,2003,3447.582872,1358.577376
El Salvador,SLV,2003,5754.267503,3128.03616
Nicaragua,NIC,2003,1886.604713,604.5329483
Costa Rica,CRI,2003,7663.233799,6102.137347
Panama,PAN,2003,2731.689839,795.122479
Colombia,COL,2003,13593.16624,12855.17072
Venezuela,VEN,2003,8342.11491,27229.235
Guyana,GUY,2003,571.1660009,575.2959015
Suriname,SUR,2003,270.5794026,217.7106918
Ecuador,ECU,2003,6102.043047,6222.692842
Peru,PER,2003,9046.937756,8859.546034
Brazil,BRA,2003,53301.72367,73666.67876
Bolivia,BOL,2003,1692.064741,1676.561239
Paraguay,PRY,2003,1948.419968,2584.499638
Chile,CHL,2003,19264.08371,21652.19083
Argentina,ARG,2003,13850.77414,29938.75262
Uruguay,URY,2003,2190.356854,2197.241293
United Kingdom,GBR,2003,383635.1886,305955.7507
Ireland,IRL,2003,53865.6638,92830.3227
Netherlands,NLD,2003,264718.5671,295963.0761
Belgium,BEL,2003,224951.4294,250251.1729
Luxembourg,LUX,2003,16179.1499,13322.0181
France,FRA,2003,398662.2491,392081.503
Monaco,MCO,2003,,
Liechtenstein,LIE,2003,,
Switzerland,CHE,2003,100238.8537,104821.1691
Spain,ESP,2003,208772.2901,155404.2028
Andorra,AND,2003,,
Portugal,PRT,2003,47221.5579,31732.3972
Germany,DEU,2003,596483.029,742177.212
Poland,POL,2003,68003.8954,53576.9106
Austria,AUT,2003,99540.2484,97180.188
Hungary,HUN,2003,47526.422,42479.658
Czech Republic,CZE,2003,56128.11514,48497.06218
Slovakia,SVK,2003,23388.8785,20406.6707
Italy,ITA,2003,297920.6662,299840.3053
San Marino,SMR,2003,,
Malta,MLT,2003,3396.392608,2460.690718
Albania,ALB,2003,1852.324981,447.1149031
Montenegro,MNE,2003,,
Macedonia,MKD,2003,2306.322397,1366.581616
Croatia,HRV,2003,14209.03239,6186.630195
Yugoslavia,YUG,2003,,
Bosnia and Herzegovina,BIH,2003,4001.387507,1135.088305
Slovenia,SVN,2003,13850.87262,12728.19146
Greece,GRC,2003,44853.6296,13380.439
Cyprus,CYP,2003,4487.199197,925.4866246
Bulgaria,BGR,2003,10681.31655,7376.224336
Moldova,MDA,2003,1402.3471,789.5864
Romania,ROU,2003,23933.55,17615.97
Russia,RUS,2003,56677.03696,131472.6951
Estonia,EST,2003,7966.59,5622.5
Latvia,LVA,2003,5244.220999,2892.869614
Lithuania,LTU,2003,9803.8135,7162.4232
Ukraine,UKR,2003,24091.13719,24271.12191
Belarus,BLR,2003,11558.0067,9943.2875
Armenia,ARM,2003,1279.490183,685.599234
Georgia,GEO,2003,1141.198115,465.2656153
Azerbaijan,AZE,2003,2625.70828,2590.10242
Finland,FIN,2003,42509.3957,53225.309
Sweden,SWE,2003,83258.8902,102234.9799
Norway,NOR,2003,40052.24029,68316.45607
Denmark,DNK,2003,56299.37631,65833.54669
Iceland,ISL,2003,2828.991881,2396.943614
Cape Verde,CPV,2003,,
Sao Tome and Principe,STP,2003,63.62562483,11.66704521
Guinea-Bissau,GNB,2003,160.2297684,70.68124589
Equatorial Guinea,GNQ,2003,1224.36882,2639.509527
Gambia,GMB,2003,504.2822271,18.53266132
Mali,MLI,2003,1531.748146,214.3662015
Senegal,SEN,2003,2358.542138,1158.936492
Benin,BEN,2003,886.1886486,271.5869225
Mauritania,MRT,2003,998.2541704,592.5417179
Niger,NER,2003,494.9904528,199.7236232
Ivory Coast,CIV,2003,3590.3533,5493.270023
Guinea,GIN,2003,694.0206178,628.7468772
Burkina Faso,BFA,2003,772.9947649,312.338269
Liberia,LBR,2003,4273.723049,922.1210676
Sierra Leone,SLE,2003,602.5718214,140.2815621
Ghana,GHA,2003,3945.10156,2004.701201
Togo,TGO,2003,568.2632778,417.0080977
Cameroon,CMR,2003,1789.677942,2240.007025
Nigeria,NGA,2003,14879.17079,24061.53757
Gabon,GAB,2003,1347.242278,3656.830933
Central African Republic,CAF,2003,147.871216,122.4600488
Chad,TCD,2003,348.9597648,92.29558077
Congo,COG,2003,858.0535628,1709.722064
Democratic Republic of the Congo,COD,2003,1045.186277,972.3815685
Uganda,UGA,2003,1374.987882,534.0063102
Kenya,KEN,2003,3709.722567,2409.139539
Tanzania,TZA,2003,2469.530892,936.1652513
Burundi,BDI,2003,156.788901,37.52812603
Rwanda,RWA,2003,370.2498686,150.9016726
Somalia,SOM,2003,421.396329,147.2688778
Djibouti,DJI,2003,867.5646142,245.4643509
Ethiopia,ETH,2003,2102.078728,467.8566029
Eritrea,ERI,2003,,
Angola,AGO,2003,4463.381567,8499.487493
Mozambique,MOZ,2003,1812.927,1043.91254
Zambia,ZMB,2003,1547.323384,947.5794253
Zimbabwe,ZWE,2003,698.7072168,3341.043982
Malawi,MWI,2003,578.6370605,506.5498081
South Africa,ZAF,2003,37353.89697,36356.27789
Namibia,NAM,2003,,890.3532222
Lesotho,LSO,2003,,436.4165795
Botswana,BWA,2003,,2174.192384
Swaziland,SWZ,2003,,588.8255968
Madagascar,MDG,2003,1242.732545,1000.504681
Comoros,COM,2003,124.2052007,32.87705966
Mauritius,MUS,2003,2387.603288,1810.313235
Seychelles,SYC,2003,414.2413198,213.9160544
Morocco,MAR,2003,14196.69448,8765.033222
Algeria,DZA,2003,15357.13981,24963.20482
Tunisia,TUN,2003,10895.88979,7749.295725
Libya,LBY,2003,6164.350723,13741.42515
Sudan,SDN,2003,2731.247448,2609.368
Iran,IRN,2003,26002,31773.12064
Turkey,TUR,2003,69339.69206,47253.9864
Iraq,IRQ,2003,4493.710045,8219.959876
Egypt,EGY,2003,10892.86885,6161.19324
Syria,SYR,2003,8656.903386,5876.904702
Lebanon,LBN,2003,7168.191482,1457.762165
Jordan,JOR,2003,5743.311329,3081.623733
Israel,ISR,2003,34213.4,31292.4
Saudi Arabia,SAU,2003,36916.00213,85518.61037
Yemen,YEM,2003,4269.85003,3722.579632
Kuwait,KWT,2003,11428.35937,18692.4313
Bahrain,BHR,2003,4453.743757,10260.98911
Qatar,QAT,2003,4897.346401,13382.31498
United Arab Emirates,ARE,2003,38827,50678.20651
Oman,OMN,2003,6572.198055,11509.17911
Afghanistan,AFG,2003,1609.716369,208.4526537
Turkmenistan,TKM,2003,2512.007031,3450.161715
Tajikistan,TJK,2003,880.8,797.2
Kyrgyzstan,KGZ,2003,716.959762,580.672267
Uzbekistan,UZB,2003,2484.461245,2017.605181
Kazakhstan,KAZ,2003,8399.7945,12308.8107
China,CHN,2003,648163.375,664943.75
Mongolia,MNG,2003,790.94,615.3794
Taiwan,TWN,2003,,182764.2855
North Korea,PRK,2003,2222.030059,882.8605582
South Korea,KOR,2003,178825.741,193728.447
Japan,JPN,2003,382963.5549,471915.955
India,IND,2003,74070.02226,61118.5428
Bhutan,BTN,2003,,
Pakistan,PAK,2003,13048.53633,11929.02104
Bangladesh,BGD,2003,9834.926661,6229.390323
Myanmar,MMR,2003,3228.433183,2766.304811
Sri Lanka,LKA,2003,6671.89994,5133.299943
Maldives,MDV,2003,470.6542263,112.7117926
Nepal,NPL,2003,1594.8,641.2
Thailand,THA,2003,75824.31985,80321.71161
Cambodia,KHM,2003,1656.31,2109.803777
Laos,LAO,2003,809.9206544,437.5392736
Vietnam,VNM,2003,25260.634,20149.515
Malaysia,MYS,2003,82743.36993,104968.9058
Singapore,SGP,2003,136326.5965,160072.7637
Brunei,BRN,2003,1340.91701,4422.221823
Philippines,PHL,2003,37505.12209,36231.09039
Indonesia,IDN,2003,32550.68427,61058.24697
East Timor,TLS,2003,,
Australia,AUS,2003,93208.25888,70904.70633
Papua New Guinea,PNG,2003,1349.495166,3658.286253
New Zealand,NZL,2003,18476.03067,16326.63075
Vanuatu,VUT,2003,209.5011556,76.61566833
Solomon Islands,SLB,2003,135.0488916,123.0124858
Kiribati,KIR,2003,,27.42156382
Tuvalu,TUV,2003,,2.35139857
Fiji,FJI,2003,994.7088405,738.2564874
Tonga,TON,2003,101.4670801,31.03297176
Nauru,NRU,2003,,32.21559128
Marshall Islands,MHL,2003,,
Palau,PLW,2003,,
Federated States of Micronesia,FSM,2003,,
Samoa,WSM,2003,255.1273299,104.7285986
