statename,stateabb,year,imports,exports
United States of America,USA,1999,1048483,690792.5
Canada,CAN,1999,235593.2451,237337.8245
Bahamas,BHM,1999,3206.890888,770.6912902
Cuba,CUB,1999,2894.281913,1438.045761
Haiti,HAI,1999,1158.25866,317.1813125
Dominican Republic,DOM,1999,8844.034869,5136.706002
Jamaica,JAM,1999,2952.333136,1245.336582
Trinidad and Tobago,TRI,1999,2742.993941,2804.81808
Barbados,BAR,1999,1108.162477,263.8092315
Dominica,DMA,1999,140.2248148,54.66740741
Grenada,GRN,1999,204.8849259,69.40274074
St. Lucia,SLU,1999,354.5488889,55.64407407
St. Vincent and the Grenadines,SVG,1999,200.7621019,49.40395037
Antigua & Barbuda,AAB,1999,,28.54386805
St. Kitts and Nevis,SKN,1999,153.5370774,28.1259863
Mexico,MEX,1999,156172.2384,136391.1226
Belize,BLZ,1999,366.81,166.3765
Guatemala,GUA,1999,5632.584348,3937.056991
Honduras,HON,1999,4461.40873,3690.854876
El Salvador,SAL,1999,3123.8154,1176.644
Nicaragua,NIC,1999,1861.7,545.2
Costa Rica,COS,1999,6354.5977,6662.360471
Panama,PAN,1999,3492.53015,709.812991
Colombia,COL,1999,10659.53138,11623.7405
Venezuela,VEN,1999,13213,20823
Guyana,GUY,1999,638.3761915,611.7375104
Suriname,SUR,1999,501.4792012,586.6284934
Ecuador,ECU,1999,3391.743222,5001.681142
Peru,PER,1999,7323.2302,6019.424
Brazil,BRA,1999,54781.92608,48313.27872
Bolivia,BOL,1999,2107.01465,1405.356
Paraguay,PAR,1999,2886.629024,1014.412046
Chile,CHL,1999,16059.3,17375.94
Argentina,ARG,1999,25517.78379,22884.32259
Uruguay,URU,1999,3578.854646,2237.379445
United Kingdom,UKG,1999,321079.8365,269494.6967
Ireland,IRE,1999,47532.92854,71605.22404
Netherlands,NTH,1999,207942.2802,220153.103
Belgium,BEL,1999,157842.419,174570.3573
Luxembourg,LUX,1999,11193.18551,8177.323677
France,FRN,1999,313489.9149,323857.0535
Monaco,MNC,1999,,
Liechtenstein,LIE,1999,,
Switzerland,SWZ,1999,79840.8,80250.6
Spain,SPN,1999,135067.3846,103673.6476
Andorra,AND,1999,,
Portugal,POR,1999,39917.44159,24541.66154
Germany,GMY,1999,464286.3691,535559.9987
Poland,POL,1999,45911.4662,27408.0307
Austria,AUS,1999,71258.34863,65954.49492
Hungary,HUN,1999,27893.888,24848.994
Czech Republic,CZR,1999,31148.32151,26238.50973
Slovakia,SLO,1999,12453.38785,10233.46031
Italy,ITA,1999,220203.7868,235082.3884
San Marino,SNM,1999,,
Malta,MLT,1999,2845.83043,1983.841366
Albania,ALB,1999,899.1028798,275.3492583
Macedonia,MAC,1999,1796.455536,1191.96804
Croatia,CRO,1999,7724.49,4226.07
Yugoslavia,YUG,1999,,
Bosnia and Herzegovina,BOS,1999,2627.230603,599.2317896
Slovenia,SLV,1999,9889.024695,8504.822108
Greece,GRC,1999,28016.81888,10481.31286
Cyprus,CYP,1999,3617.832851,1000.554735
Bulgaria,BUL,1999,5219.996468,3755.121203
Moldova,MLD,1999,586.368,463.4324
Romania,ROM,1999,10600.54,8508.98
Russia,RUS,1999,30285.73078,72465.64157
Estonia,EST,1999,4109.848,3017.584
Latvia,LAT,1999,2946.246467,1723.181001
Lithuania,LIT,1999,4834.5802,3003.8417
Ukraine,UKR,1999,11844.3,11582.5
Belarus,BLR,1999,6673.7433,5916.0771
Armenia,ARM,1999,842.738,231.6692
Georgia,GRG,1999,859.4136054,361.0411715
Azerbaijan,AZE,1999,1035.6637,929.2278
Finland,FIN,1999,32414.0714,42362.26725
Sweden,SWD,1999,62695.10755,84793.46491
Norway,NOR,1999,33327.66322,44695.56018
Denmark,DEN,1999,44610.057,49355.429
Iceland,ICE,1999,2517.278432,2002.467009
Cape Verde,CAP,1999,,
Sao Tome and Principe,STP,1999,53.1752596,12.42948087
Guinea-Bissau,GNB,1999,89.94699377,57.2437936
Equatorial Guinea,EQG,1999,426.5988116,625.8148304
Gambia,GAM,1999,193.6697891,8.199758522
Mali,MLI,1999,1254.430462,251.4518164
Senegal,SEN,1999,1607.506189,817.1523474
Benin,BEN,1999,843.2285723,207.1157703
Mauritania,MAA,1999,603.4916538,525.2641418
Niger,NIR,1999,315.3325868,178.6895487
Ivory Coast,CDI,1999,3046.881979,4209.437086
Guinea,GUI,1999,558.1427096,490.6049392
Burkina Faso,BFO,1999,601.8925671,179.3019049
Liberia,LBR,1999,3596.791216,564.9628354
Sierra Leone,SIE,1999,199.1417954,6.26
Ghana,GHA,1999,3251.096875,1754.208756
Togo,TOG,1999,341.6721059,237.2607081
Cameroon,CAO,1999,1317.573727,1600.606447
Nigeria,NIG,1999,7695.179387,13226.86395
Gabon,GAB,1999,1564.278418,3362.62008
Central African Republic,CEN,1999,153.7820667,223.2094029
Chad,CHA,1999,139.0975535,98.12042781
Congo,CON,1999,757.6733374,1716.295541
Democratic Republic of the Congo,DRC,1999,634.6260855,1095.447505
Uganda,UGA,1999,811.9690754,384.5910815
Kenya,KEN,1999,3100.429272,2029.219481
Tanzania,TAZ,1999,1660.358161,621.5273849
Burundi,BUI,1999,117.6565155,54.95841189
Rwanda,RWA,1999,269.045379,78.57075474
Somalia,SOM,1999,285.037712,116.3548711
Djibouti,DJI,1999,617.2873075,151.0810488
Ethiopia,ETH,1999,1673.614933,474.7313142
Eritrea,ERI,1999,,
Angola,ANG,1999,2238.873559,4393.559278
Mozambique,MZM,1999,1199.9,271
Zambia,ZAM,1999,876.1259035,524.7894532
Zimbabwe,ZIM,1999,2126.696449,1897.718831
Malawi,MAW,1999,628.4299194,481.2919999
South Africa,SAF,1999,26224.32476,24421.47239
Namibia,NAM,1999,,709.2684691
Lesotho,LES,1999,,136.3924763
Botswana,BOT,1999,,592.1681421
Swaziland,SWA,1999,,296.0817635
Madagascar,MAG,1999,378.0293637,220.4901196
Comoros,COM,1999,69.63687216,11.52756858
Mauritius,MAS,1999,2248.461161,1554.840052
Seychelles,SEY,1999,433.5355867,108.1124924
Morocco,MOR,1999,11940.72324,8184.103337
Algeria,ALG,1999,9172.862989,12740.02754
Tunisia,TUN,1999,10194.46712,7266.615833
Libya,LIB,1999,4253.313347,7961.392699
Sudan,SUD,1999,1576.99514,705.573431
Iran,IRN,1999,12683,21030
Turkey,TUR,1999,40671.27262,26587.1294
Iraq,IRQ,1999,2110.30402,9687.901061
Egypt,EGY,1999,15961.95568,3535.809446
Syria,SYR,1999,3831.610156,3463.659866
Lebanon,LEB,1999,6206.05,676.56
Jordan,JOR,1999,3666.036671,1237.481946
