Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United States, World,Import,  All Products,MFN Weighted Average (%),4.728656101,4.800313762,4.713133657,,4.272888636,4.109235487,3.672602921,3.60482778,3.886426299,3.396582927,3.455389829,3.326225907,3.201922173,2.994420955,2.960462531,2.90835813,2.42205707,2.755809059,2.818178506,2.81292708,2.808638203,2.7897922,2.80745188,2.776125302,2.78892636,2.797244071
United States,Afghanistan,Import,  All Products,MFN Weighted Average (%),2.496711025,1.943687921,1.696319439,,1.587755446,1.308812822,0.697930718,0.472369423,1.110647713,0.537755777,0.183834284,0.383780621,0.473204518,1.882374318,1.882695649,1.982243766,1.399777369,1.639726898,1.42491439,1.14971692,1.362161063,1.522072493,0.994600399,1.484214843,2.824167203,2.904973601
United States,Albania,Import,  All Products,MFN Weighted Average (%),2.58913472,4.952320313,5.246111095,,2.914028095,5.620417759,17.83707818,16.92525807,4.616566054,17.32382627,14.85068111,11.18287113,2.227247641,3.948232401,4.077160422,5.436973741,4.103928874,4.1587494,4.001771284,2.66775237,2.90912206,3.444407079,3.366066819,3.864685614,3.582280335,3.581609343
United States,Algeria,Import,  All Products,MFN Weighted Average (%),7.66298791,7.653438147,7.101567978,,8.104686186,7.420618137,2.396953869,7.09032376,34.66360837,13.30645527,9.688210546,6.173844125,5.102117725,4.487637692,3.721072027,4.66891709,4.096804788,5.209142176,5.867626131,6.108438394,6.302102592,6.442904565,6.633567937,6.452844345,6.575625154,6.68908878
United States,Andorra,Import,  All Products,MFN Weighted Average (%),3.666299421,3.254029126,0.715121506,,6.683460089,14.45149747,2.258757662,6.474261747,5.184338875,0.380253583,24.51060003,0.602643155,0.813830084,1.682793602,0.623234612,1.683309584,8.995084931,5.22083223,4.093993622,3.735691017,2.822925643,3.099516407,0.85032039,0.502782052,0.691382946,0.64961855
United States,Angola,Import,  All Products,MFN Weighted Average (%),0.658765941,7.20014526,6.413366676,,8.319267,8.476892963,0.446337204,8.901029538,36.47929199,14.3281382,12.19025968,7.904778509,6.982540679,6.406391899,5.131157259,4.452484619,5.745131161,6.156857048,5.810765236,4.791667693,5.106232864,5.530385474,6.44895477,6.544755887,5.21466853,5.304162204
United States,Anguila,Import,  All Products,MFN Weighted Average (%),1.904222492,4.400452388,0.526695061,,1.168821736,0.186163592,18.35837048,4.087774819,1.822344208,1.331929441,1.994086554,0.98675056,1.061424637,0.944610037,0.964984799,0.842223303,0.826223932,0.797265919,0.753603497,0.534148503,0.39301621,0.668132984,0.498756591,0.557962707,0.512569378,0.538614297
United States,Antigua and Barbuda,Import,  All Products,MFN Weighted Average (%),4.228996311,5.134579181,6.689502593,,5.523498155,1.739497571,1.158874401,0.932306737,1.408231298,0.944632132,1.531330266,1.440493789,1.357128164,3.092846278,1.04698208,2.7020348,0.871994884,1.375441514,1.755540143,0.875836783,0.658093552,0.183662391,2.722388458,0.700746599,0.81940677,0.850688662
United States,Argentina,Import,  All Products,MFN Weighted Average (%),6.662317404,6.489587372,6.564530453,,9.010641019,8.09349884,6.356306282,7.706525504,10.67781564,7.607128431,7.180494255,6.305528637,5.288485713,4.93721296,5.235432896,5.235812374,4.996344152,4.762621556,4.288394541,4.615257104,4.092300848,5.45167576,3.072156528,2.882635903,3.878311206,3.957947915
United States,Armenia,Import,  All Products,MFN Weighted Average (%),,1.011925393,4.424967529,,8.613623896,8.810801909,12.04014651,13.23861482,11.80578221,7.269189824,8.001460285,8.028952744,7.031254768,6.078137912,4.44745213,4.397715473,4.037904697,3.106781487,4.58014426,4.692469109,4.578411479,4.767624638,4.925550406,4.972214936,4.819778708,4.839406619
