statename,stateabb,year,imports,exports
United States of America,USA,2004,1525472.2,816535
Canada,CAN,2004,299068.5415,315950.508
Bahamas,BHM,2004,5542.258921,1579.206091
Cuba,CUB,2004,4791.747414,2118.987907
Haiti,HAI,2004,897.4518366,432.0038434
Dominican Republic,DOM,2004,8676.840547,5935.856359
Jamaica,JAM,2004,3952.86844,1405.41477
Trinidad and Tobago,TRI,2004,4997.626201,8430.798367
Barbados,BAR,2004,1476.534509,208.939007
Dominica,DMA,2004,227.6151077,68.00743469
Grenada,GRN,2004,269.451921,54.17688347
St. Lucia,SLU,2004,376.1230157,81.73662404
St. Vincent and the Grenadines,SVG,2004,225.2218111,36.61074111
Antigua & Barbuda,AAB,2004,,236.7327455
St. Kitts and Nevis,SKN,2004,403.7233894,69.9869784
Mexico,MEX,2004,216490.6167,187998.5592
Belize,BLZ,2004,552.3070078,298.3088959
Guatemala,GUA,2004,9402.9282,5033.627778
Honduras,HON,2004,4212.331986,1640.38362
El Salvador,SAL,2004,6328.933456,3304.60848
Nicaragua,NIC,2004,2209.634295,759.8478477
Costa Rica,COS,2004,8268.034785,6300.300559
Panama,PAN,2004,3592.208849,891.505629
Colombia,COL,2004,16491.41106,16440.65314
Venezuela,VEN,2004,15169.5639,39667.68214
Guyana,GUY,2004,593.4342378,641.095483
Suriname,SUR,2004,270.7279731,279.3038813
Ecuador,ECU,2004,7282.424581,7752.891476
Peru,PER,2004,10733.0453,12468.8012
Brazil,BRA,2004,69153.959,97672.03167
Bolivia,BOL,2004,1887.76956,2254.370894
Paraguay,PAR,2004,2711.745521,2874.45641
Chile,CHL,2004,24726.90461,33025.3898
Argentina,ARG,2004,22445.2814,34575.7337
Uruguay,URU,2004,3118.627545,2929.913272
United Kingdom,UKG,2004,453191.716,341978.6256
Ireland,IRE,2004,61344.0285,104437.2606
Netherlands,NTH,2004,319786.7892,357486.5024
Belgium,BEL,2004,285951.7884,307907.7806
Luxembourg,LUX,2004,20052.2478,16258.0198
France,FRN,2004,470874.0057,451752.1862
Monaco,MNC,2004,,
Liechtenstein,LIE,2004,,
