year,importer1,id1,importer2,id2,flow1,flow2
2007,United States of America,USA,Canada,CAN,317604.41,226410.73
2007,United States of America,USA,Bahamas,BHS,523.20001,2720.4099
2007,United States of America,USA,Cuba,CUB,0.30000001,491.70001
2007,United States of America,USA,Haiti,HTI,500.20001,781.77002
2007,United States of America,USA,Dominican Republic,DOM,4327.8999,6491.7212
2007,United States of America,USA,Jamaica,JAM,788.79999,2525.9038
2007,United States of America,USA,Trinidad and Tobago,TTO,9341.7002,1957.34
2007,United States of America,USA,Barbados,BRB,39.900002,502.26001
2007,United States of America,USA,Dominica,DMA,1.8,92.07
2007,United States of America,USA,Grenada,GRD,8.8999996,91.519997
2007,United States of America,USA,St. Lucia,LCA,35.799999,182.05
2007,United States of America,USA,St. Vincent and the Grenadines,VCT,1.2,75.900002
2007,United States of America,USA,Antigua & Barbuda,ATG,9,240.39999
2007,United States of America,USA,St. Kitts and Nevis,KNA,61,223.41
2007,United States of America,USA,Mexico,MEX,212889.2,153420.13
2007,United States of America,USA,Belize,BLZ,113.4,257.62
2007,United States of America,USA,Guatemala,GTM,3269.3,4730.5942
2007,United States of America,USA,Honduras,HND,4101.2998,2923.5942
2007,United States of America,USA,El Salvador,SLV,2118.3999,3153.4866
2007,United States of America,USA,Nicaragua,NIC,1663.1,784.54565
2007,United States of America,USA,Costa Rica,CRI,4208.6001,5030.9565
2007,United States of America,USA,Panama,PAN,391.20001,2074.0449
2007,United States of America,USA,Colombia,COL,10034,8476.8643
2007,United States of America,USA,Venezuela,VEN,41010.699,11134.817
2007,United States of America,USA,Guyana,GUY,146.5,206.8
2007,United States of America,USA,Suriname,SUR,136.3,87.934326
2007,United States of America,USA,Ecuador,ECU,6539.7002,2791.1272
2007,United States of America,USA,Peru,PER,5488.7002,3826.3638
2007,United States of America,USA,Brazil,BRA,27193.301,20791.27
2007,United States of America,USA,Bolivia,BOL,376.89999,409.67789
2007,United States of America,USA,Paraguay,PRY,79.800003,309.29605
2007,United States of America,USA,Chile,CHL,9783.7002,7860.4839
2007,United States of America,USA,Argentina,ARG,4820,5342.3271
2007,United States of America,USA,Uruguay,URY,523.5,704.54999
2007,United States of America,USA,United Kingdom,GBR,58095.5,47532.156
2007,United States of America,USA,Ireland,IRL,30491.199,9376.3701
2007,United States of America,USA,Netherlands,NLD,19139.801,36016.418
2007,United States of America,USA,Belgium,BEL,15677,22884.152
2007,United States of America,USA,Luxembourg,LUX,553.40002,987.51251
2007,United States of America,USA,France,FRA,42498.102,27390.125
2007,United States of America,USA,Monaco,MCO,-9,-9
2007,United States of America,USA,Liechtenstein,LIE,-9,-9
2007,United States of America,USA,Switzerland,CHE,15284.9,9344.6602
