year,importer1,id1,importer2,id2,flow1,flow2
1999,United States of America,USA,Guinea,GIN,147.10001,33.937546
1999,United States of America,USA,Burkina Faso,BFA,2.9000001,13.2
1999,United States of America,USA,Liberia,LBR,32.5,52.799999
1999,United States of America,USA,Sierra Leone,SLE,8.5,15.73
1999,United States of America,USA,Ghana,GHA,201.10001,262.79001
1999,United States of America,USA,Togo,TGO,4.0999999,7.346065
1999,United States of America,USA,Cameroon,CMR,87,65.255898
1999,United States of America,USA,Nigeria,NGA,4641.7002,708.95001
1999,United States of America,USA,Gabon,GAB,1600.7,53.790001
1999,United States of America,USA,Central African Republic,CAF,1.6,3.8499999
1999,United States of America,USA,Chad,TCD,7.9000001,2.8599999
1999,United States of America,USA,Congo,COG,429.70001,54.34
1999,United States of America,USA,Democratic Republic of the Congo,COD,237.8,23.32
1999,United States of America,USA,Uganda,UGA,22.299999,28.49
1999,United States of America,USA,Kenya,KEN,109.5,206.69
1999,United States of America,USA,Tanzania,TZA,36.5,99.314178
1999,United States of America,USA,Burundi,BDI,6.8000002,2.5574803
1999,United States of America,USA,Rwanda,RWA,3.5999999,49.279999
1999,United States of America,USA,Somalia,SOM,0.2,3.0799999
1999,United States of America,USA,Djibouti,DJI,0.1,19.91
1999,United States of America,USA,Ethiopia,ETH,41.299999,78.760002
1999,United States of America,USA,Eritrea,ERI,0.5,6.4000001
1999,United States of America,USA,Angola,AGO,2570.3,278.41
1999,United States of America,USA,Mozambique,MOZ,11.7,44.400002
1999,United States of America,USA,Zambia,ZMB,38.400002,26.432888
1999,United States of America,USA,Zimbabwe,ZWE,135.5,101.30564
1999,United States of America,USA,Malawi,MWI,76,9.46
1999,United States of America,USA,South Africa,ZAF,3327.3999,3621.3728
1999,United States of America,USA,Namibia,NAM,33.400002,199.39999
1999,United States of America,USA,Lesotho,LSO,112.2,0.60000002
1999,United States of America,USA,Botswana,BWA,18.299999,34.599998
1999,United States of America,USA,Swaziland,SWZ,39.400002,12.9
1999,United States of America,USA,Madagascar,MDG,80.199997,14.737768
1999,United States of America,USA,Comoros,COM,1.9,0.11
