year,importer1,importer2,flow1,flow2
2000,United States of America,Canada,229190.8,169067.98
2000,United States of America,Bahamas,278.39999,1157.97
2000,United States of America,Cuba,0.40000001,3.4100001
2000,United States of America,Haiti,308.60001,274.93622
2000,United States of America,Dominican Republic,4474.3999,6321.8257
2000,United States of America,Jamaica,669.20001,1561.2205
2000,United States of America,Trinidad and Tobago,2353.3,807.69348
2000,United States of America,Barbados,40.900002,480.18469
2000,United States of America,Dominica,7.5,55.185184
2000,United States of America,Grenada,27,110.04596
2000,United States of America,St. Lucia,23.6,143.17438
2000,United States of America,St. Vincent and the Grenadines,9.3000002,61.803017
2000,United States of America,Antigua & Barbuda,2.2,136.5
2000,United States of America,St. Kitts and Nevis,39.099998,111.50736
2000,United States of America,Mexico,135080.41,140287.89
2000,United States of America,Belize,93.199997,222.8075
2000,United States of America,Guatemala,2743.8,2076.4302
2000,United States of America,Honduras,3173.7,1356.457
2000,United States of America,El Salvador,1952.5,2475.8005
2000,United States of America,Nicaragua,597.29999,450.94409
2000,United States of America,Costa Rica,3717,1509.394
2000,United States of America,Panama,345.70001,1120.3938
2000,United States of America,Colombia,7219.3999,4011.48
2000,United States of America,Venezuela,18612.1,6358.0947
2000,United States of America,Guyana,160.10001,175.00999
2000,United States of America,Suriname,136.5,144.32001
2000,United States of America,Ecuador,2447.2,850.71729
2000,United States of America,Peru,2112.8999,1982.0344
2000,United States of America,Brazil,14393.1,14302.623
2000,United States of America,Bolivia,189.10001,454.4556
2000,United States of America,Paraguay,44.099998,161.76746
2000,United States of America,Chile,3601.8,3296.6101
2000,United States of America,Argentina,3316.3999,4822.4932
2000,United States of America,Uruguay,292.79999,339.34521
2000,United States of America,United Kingdom,43676.801,44996.488
2000,United States of America,Ireland,15825,8200.459
2000,United States of America,Netherlands,9954.2998,21925.471
2000,United States of America,Belgium,10149.9,13282.797
2000,United States of America,Luxembourg,349.10001,385.81039
2000,United States of America,France,30084.4,24556.785
2000,United States of America,Monaco,-9,-9
2000,United States of America,Liechtenstein,-9,-9
2000,United States of America,Switzerland,10698.5,6472.9463
2000,United States of America,Spain,6048.1001,6607.3525
2000,United States of America,Andorra,-9,-9
2000,United States of America,Portugal,1650.5,1178.635
2000,United States of America,Germany,59480.5,42791.441
2000,United States of America,Poland,1084,2173.625
2000,United States of America,Austria,3317,2941.4001
2000,United States of America,Hungary,2532,1223.7
2000,United States of America,Czech Republic,1090.5,1497.3438
2000,United States of America,Slovakia,245.89999,291.99402
2000,United States of America,Italy,26000.801,12452.792
2000,United States of America,San Marino,-9,-9
2000,United States of America,Malta,471.89999,360.14478
2000,United States of America,Albania,8.6999998,15.993911
2000,United States of America,Macedonia,146.7,83.325584
2000,United States of America,Croatia,143.8,247.48553
2000,United States of America,Yugoslavia,-9,-9
2000,United States of America,Bosnia and Herzegovina,19,46.75
2000,United States of America,Slovenia,332.60001,299.61917
2000,United States of America,Greece,656.59998,907.07727
2000,United States of America,Cyprus,24.9,400.50024
2000,United States of America,Bulgaria,249.5,190.63901
2000,United States of America,Moldova,122.2,48.208199
2000,United States of America,Romania,491.5,391.04999
2000,United States of America,Russia,7830,2703.2461
2000,United States of America,Estonia,593.29999,120.6
2000,United States of America,Latvia,259.5,63.312542
2000,United States of America,Lithuania,148.3,129.9921
2000,United States of America,Ukraine,946.70001,360.5
2000,United States of America,Belarus,114.8,138.67799
2000,United States of America,Armenia,23.6,102.6751
2000,United States of America,Georgia,34.200001,69.595352
2000,United States of America,Azerbaijan,19.6,117.7098
2000,United States of America,Finland,3293.6001,1643.4333
2000,United States of America,Sweden,9718.2002,4889.5566
2000,United States of America,Norway,5772.3999,2175.8916
2000,United States of America,Denmark,3089.8,1939.7788
2000,United States of America,Iceland,281.79999,285.31583
2000,United States of America,Cape Verde,-9,-9
2000,United States of America,Sao Tome and Principe,0.5,0.99000001
2000,United States of America,Guinea-Bissau,0.5,0.66000003
2000,United States of America,Equatorial Guinea,157,101.75
2000,United States of America,Gambia,0.30000001,8.25
2000,United States of America,Mali,9.8000002,38.060001
2000,United States of America,Senegal,4.6999998,56.538399
2000,United States of America,Benin,9.8000002,22.921223
2000,United States of America,Mauritania,0.40000001,16.83
2000,United States of America,Niger,7.1999998,14.083335
2000,United States of America,Ivory Coast,431.29999,88.708778
2000,United States of America,Guinea,121.5,29.710281
2000,United States of America,Burkina Faso,3.2,14.140078
2000,United States of America,Liberia,45.400002,51.369999
2000,United States of America,Sierra Leone,4,20.24
2000,United States of America,Ghana,225.8,204.49001
2000,United States of America,Togo,8.1999998,5.0208526
2000,United States of America,Cameroon,163.10001,70.795898
2000,United States of America,Nigeria,10349.7,660.0495
2000,United States of America,Gabon,2187.1001,71.059998
2000,United States of America,Central African Republic,2.4000001,2.53
2000,United States of America,Chad,5.6999998,10.34
2000,United States of America,Congo,481,66.780312
2000,United States of America,Democratic Republic of the Congo,238.7,11.22
2000,United States of America,Uganda,30.700001,30.812551
2000,United States of America,Kenya,112.2,132.38361
2000,United States of America,Tanzania,34.299999,58.931213
2000,United States of America,Burundi,7.1999998,3.8106031
2000,United States of America,Rwanda,5.5,19.799999
2000,United States of America,Somalia,0.5,5.1700001
2000,United States of America,Djibouti,0.40000001,18.59
2000,United States of America,Ethiopia,28.9,56.07349
2000,United States of America,Eritrea,0.2,16.700001
2000,United States of America,Angola,3613.6001,240.89999
2000,United States of America,Mozambique,26,36.240002
2000,United States of America,Zambia,21.200001,55.240448
2000,United States of America,Zimbabwe,124.6,107.66727
2000,United States of America,Malawi,59.200001,14.41
2000,United States of America,South Africa,4316.7998,3490.2849
2000,United States of America,Namibia,44.5,79.900002
2000,United States of America,Lesotho,143.89999,0.60000002
2000,United States of America,Botswana,42,32.700001
2000,United States of America,Swaziland,56.099998,8.8999996
2000,United States of America,Madagascar,162.39999,42.969368
2000,United States of America,Comoros,3.3,0.88
2000,United States of America,Mauritius,306.89999,61.021309
2000,United States of America,Seychelles,7.9000001,5.9854913
2000,United States of America,Morocco,465.20001,643.35632
2000,United States of America,Algeria,2795.8,1045.5404
2000,United States of America,Tunisia,107.5,394.97784
2000,United States of America,Libya,0,19.799999
2000,United States of America,Sudan,1.9,18.26
2000,United States of America,Iran,174.5,94.118858
2000,United States of America,Turkey,3241.2,3913.2356
2000,United States of America,Iraq,6347.2002,11.99
2000,United States of America,Egypt,894.70001,3728.8899
2000,United States of America,Syria,158.89999,232.21001
2000,United States of America,Lebanon,73.599998,457.63
2000,United States of America,Jordan,74.5,454.13541
2000,United States of America,Israel,12899.8,6645.5
2000,United States of America,Saudi Arabia,14301.8,5814.3613
2000,United States of America,Yemen,267.20001,103.15703
2000,United States of America,Kuwait,2968.1001,892.53998
2000,United States of America,Bahrain,345.29999,452.20999
2000,United States of America,Qatar,584.79999,335.07614
2000,United States of America,United Arab Emirates,996.90002,2002.5
2000,United States of America,Oman,280.39999,270.43976
2000,United States of America,Afghanistan,2.9000001,12.21
2000,United States of America,Turkmenistan,28.799999,62.799999
2000,United States of America,Tajikistan,12.1,14.3
2000,United States of America,Kyrgyzstan,2,53.799999
2000,United States of America,Uzbekistan,37,182.71001
2000,United States of America,Kazakhstan,420.20001,277.45029
2000,United States of America,China,119416.3,36976.672
2000,United States of America,Mongolia,121.3,28.41
2000,United States of America,Taiwan,41907.301,23833.4
2000,United States of America,North Korea,0.1,2.8599999
2000,United States of America,South Korea,40911,29286.094
2000,United States of America,Japan,149520.3,72513.961
2000,United States of America,India,11034.3,3152.25
2000,United States of America,Bhutan,0.60000002,0.80000001
2000,United States of America,Pakistan,2300.2,653.07959
2000,United States of America,Bangladesh,2528.5,213.94133
2000,United States of America,Myanmar,487,18.809999
2000,United States of America,Sri Lanka,2123,254.91014
2000,United States of America,Maldives,95.900002,8.6395645
2000,United States of America,Nepal,242.2,24.799999
2000,United States of America,Thailand,17161.4,7291.126
2000,United States of America,Cambodia,860.70001,32.77
2000,United States of America,Laos,9.6999998,4.73
2000,United States of America,Vietnam,860.20001,363.96201
2000,United States of America,Malaysia,25990,13668.145
2000,United States of America,Singapore,19630.4,20270.006
2000,United States of America,Brunei,407.60001,153.85323
2000,United States of America,Philippines,14216.4,6412.8428
2000,United States of America,Indonesia,11097.4,3393.2693
2000,United States of America,Australia,6692.7002,14897.369
2000,United States of America,Papua New Guinea,39.099998,26.4
2000,United States of America,New Zealand,2185.5,2425.21
2000,United States of America,Vanuatu,9.3000002,1.54
2000,United States of America,Solomon Islands,0.80000001,6.3800001
2000,United States of America,Kiribati,1.4,4.3000002
2000,United States of America,Tuvalu,0,0
2000,United States of America,Fiji,159.10001,25.959999
2000,United States of America,Tonga,5.9000001,8.4700003
2000,United States of America,Nauru,1.4,5.9000001
2000,United States of America,Marshall Islands,-9,-9
2000,United States of America,Palau,0,0
2000,United States of America,Federated States of Micronesia,-9,-9
2000,United States of America,Samoa,8,70.730003
2000,Canada,Bahamas,10.378261,18.805038
2000,Canada,Cuba,302.27457,228.83856
2000,Canada,Haiti,6.7556944,24.64687
2000,Canada,Dominican Republic,70.793983,47.120354
2000,Canada,Jamaica,145.96391,98.341347
2000,Canada,Trinidad and Tobago,53.063309,66.209595
2000,Canada,Barbados,5.4472771,48.270081
2000,Canada,Dominica,1.2592957,6.2381482
2000,Canada,Grenada,1.1306897,6.4930739
2000,Canada,St. Lucia,1.0453298,13.619778
2000,Canada,St. Vincent and the Grenadines,0.30005345,4.7788358
2000,Canada,Antigua & Barbuda,7.5504003,7.1268892
2000,Canada,St. Kitts and Nevis,3.2626657,14.969957
2000,Canada,Mexico,8526.8828,4418.2222
2000,Canada,Belize,7.2641149,9.5039997
2000,Canada,Guatemala,112.6565,124.70509
2000,Canada,Honduras,48.402851,19.074387
2000,Canada,El Salvador,112.57935,34.814087
2000,Canada,Nicaragua,43.554775,27.002132
2000,Canada,Costa Rica,135.54984,66.282654
2000,Canada,Panama,10.418143,39.614769
2000,Canada,Colombia,202.06584,222.62711
2000,Canada,Venezuela,1045.9713,337.18298
2000,Canada,Guyana,148.02695,5.7773733
2000,Canada,Suriname,40.225708,4.2641425
2000,Canada,Ecuador,90.32019,63.325039
2000,Canada,Peru,139.1828,224.36363
2000,Canada,Brazil,1105.4263,1194.1967
2000,Canada,Bolivia,9.0559406,15.17304
2000,Canada,Paraguay,1.1386807,4.2861633
2000,Canada,Chile,411.74783,510.23001
2000,Canada,Argentina,264.65973,307.08401
2000,Canada,Uruguay,87.577972,23.35116
2000,Canada,United Kingdom,9600.3076,6243.3477
2000,Canada,Ireland,857.76215,471.53439
2000,Canada,Netherlands,937.54938,1151.6151
2000,Canada,Belgium,724.08533,1388.9092
2000,Canada,Luxembourg,57.903206,33.176899
2000,Canada,France,3087.1372,1929.6907
2000,Canada,Monaco,-9,-9
2000,Canada,Liechtenstein,-9,-9
2000,Canada,Switzerland,1092.1605,342.76443
2000,Canada,Spain,701.58112,557.1778
2000,Canada,Andorra,-9,-9
2000,Canada,Portugal,175.45143,108.5135
2000,Canada,Germany,5567.9624,3189.9771
2000,Canada,Poland,202.03133,165.66701
2000,Canada,Austria,537.53943,446.52179
2000,Canada,Hungary,115.86819,76.400002
2000,Canada,Czech Republic,119.25037,104.1338
2000,Canada,Slovakia,25.419643,21.272371
2000,Canada,Italy,2725.7607,1776.655
2000,Canada,San Marino,-9,-9
2000,Canada,Malta,53.514565,10.922189
2000,Canada,Albania,0.1138337,1.4681199
2000,Canada,Macedonia,7.2907162,1.99192
2000,Canada,Croatia,13.511615,35.559231
2000,Canada,Yugoslavia,-9,-9
2000,Canada,Bosnia and Herzegovina,0.76827711,4.5661607
2000,Canada,Slovenia,32.712189,58.782345
2000,Canada,Greece,76.458389,94.797699
2000,Canada,Cyprus,1.8312517,9.0748158
2000,Canada,Bulgaria,45.229401,14.968
2000,Canada,Moldova,5.4635525,0.75269997
2000,Canada,Romania,75.83149,53.220001
2000,Canada,Russia,481.99707,192.80333
2000,Canada,Estonia,71.499046,9.1099997
2000,Canada,Latvia,20.805775,7.5271678
2000,Canada,Lithuania,39.669037,15.4572
2000,Canada,Ukraine,90.833885,24.799999
2000,Canada,Belarus,1.7140347,5.6153998
2000,Canada,Armenia,0.94994098,5.3959999
2000,Canada,Georgia,0.44699395,3.6358778
2000,Canada,Azerbaijan,0.26584625,3.8836
2000,Canada,Finland,471.65143,133.295
2000,Canada,Sweden,1329.7349,265.31454
2000,Canada,Norway,3228.7002,866.30164
2000,Canada,Denmark,441.18042,292.24792
2000,Canada,Iceland,60.235645,23.842981
2000,Canada,Cape Verde,-9,-9
2000,Canada,Sao Tome and Principe,0.90574121,0.037461143
2000,Canada,Guinea-Bissau,0.001928363,0.12089629
2000,Canada,Equatorial Guinea,0.002642819,0.12160751
2000,Canada,Gambia,0.31873199,0.1119969
2000,Canada,Mali,18.47661,3.5554175
2000,Canada,Senegal,9.061965,21.715715
2000,Canada,Benin,0.027890123,2.3875029
2000,Canada,Mauritania,0.08513394,2.0622735
2000,Canada,Niger,1.4843267,0.28793094
2000,Canada,Ivory Coast,53.997795,9.2405987
2000,Canada,Guinea,15.702493,1.6715611
2000,Canada,Burkina Faso,0.096448138,1.5801089
2000,Canada,Liberia,2.0918624,0.87478769
2000,Canada,Sierra Leone,2.2054379,0.49153289
2000,Canada,Ghana,11.764569,42.289669
2000,Canada,Togo,0.71113521,9.0712404
2000,Canada,Cameroon,44.896862,25.241009
2000,Canada,Nigeria,341.76703,26.433474
2000,Canada,Gabon,1.1268271,3.8911781
2000,Canada,Central African Republic,1.517306,0.002243206
2000,Canada,Chad,0.033029325,0.21511339
2000,Canada,Congo,1.563257,0.42276689
2000,Canada,Democratic Republic of the Congo,0.000307165,2.4919345
2000,Canada,Uganda,1.3173729,9.3174238
2000,Canada,Kenya,9.900424,12.93886
2000,Canada,Tanzania,0.73699707,32.300655
2000,Canada,Burundi,0.022802463,1.2019315
2000,Canada,Rwanda,0.002111373,0.67415118
2000,Canada,Somalia,0.043638587,0.87248141
2000,Canada,Djibouti,0.023159115,0.053852491
2000,Canada,Ethiopia,4.4890523,6.1840692
2000,Canada,Eritrea,0,0
2000,Canada,Angola,30.730711,5.1600804
2000,Canada,Mozambique,0.646357,10.5
2000,Canada,Zambia,0.20545864,7.224544
2000,Canada,Zimbabwe,7.6033483,3.6204154
2000,Canada,Malawi,2.3999047,2.2238829
2000,Canada,South Africa,376.27106,275.28873
2000,Canada,Namibia,43.206905,2.3230422
2000,Canada,Lesotho,4.7935343,0.084411174
2000,Canada,Botswana,0.20695141,14.808166
2000,Canada,Swaziland,1.4457446,0.88644719
2000,Canada,Madagascar,3.8489492,2.2200646
2000,Canada,Comoros,0.086562343,0.023247428
2000,Canada,Mauritius,14.319755,3.9523478
2000,Canada,Seychelles,0.17436633,0.82256752
2000,Canada,Morocco,71.755196,226.248
2000,Canada,Algeria,920.88184,349.97449
2000,Canada,Tunisia,7.9025612,22.421587
2000,Canada,Libya,0.000504741,15.815126
2000,Canada,Sudan,0.09728694,19.475582
2000,Canada,Iran,90.653847,477.48053
2000,Canada,Turkey,217.21309,256.43469
2000,Canada,Iraq,505.65491,56.882725
2000,Canada,Egypt,27.096397,111.89664
2000,Canada,Syria,33.687141,8.9919262
2000,Canada,Lebanon,6.262002,29.93
2000,Canada,Jordan,1.9869801,30.222284
2000,Canada,Israel,441.35184,340.70001
2000,Canada,Saudi Arabia,676.12054,288.42395
2000,Canada,Yemen,0.076435059,7.1094971
2000,Canada,Kuwait,0.64705747,30.931202
2000,Canada,Bahrain,5.5724339,9.932601
2000,Canada,Qatar,7.3255835,28.230165
2000,Canada,United Arab Emirates,106.26274,245.5
2000,Canada,Oman,4.2435398,16.277386
2000,Canada,Afghanistan,0.45068827,0.078594781
2000,Canada,Turkmenistan,0.20742075,0.30000001
2000,Canada,Tajikistan,0.17954366,0.80000001
2000,Canada,Kyrgyzstan,0.55234057,11.3
2000,Canada,Uzbekistan,13.532723,1.5456977
2000,Canada,Kazakhstan,20.495073,23.072701
2000,Canada,China,9467.4336,5165.4028
2000,Canada,Mongolia,0.79000002,0.91000003
2000,Canada,Taiwan,3681.0352,765.64569
2000,Canada,North Korea,0.34054404,16.423016
2000,Canada,South Korea,3824.6768,2107.7896
2000,Canada,Japan,12285.176,8688.8604
2000,Canada,India,926.98065,392.95001
2000,Canada,Bhutan,0.004358565,0
2000,Canada,Pakistan,201.88618,82.626778
2000,Canada,Bangladesh,132.06461,100.25481
2000,Canada,Myanmar,44.982342,0.057114199
2000,Canada,Sri Lanka,100.67539,47.166882
2000,Canada,Maldives,6.1521001,5.7708731
2000,Canada,Nepal,7.8546739,6.6999998
2000,Canada,Thailand,1235.3424,343.85236
2000,Canada,Cambodia,13.764777,7.0700002
2000,Canada,Laos,1.6037586,0.13050373
2000,Canada,Vietnam,156.49188,37.629002
2000,Canada,Malaysia,1839.3651,379.17148
2000,Canada,Singapore,1033.5999,479.74756
2000,Canada,Brunei,1.2141989,0.62923235
2000,Canada,Philippines,1039.1719,220.84772
2000,Canada,Indonesia,656.3797,638.32874
2000,Canada,Australia,1143.5201,1208.9397
2000,Canada,Papua New Guinea,0.38816741,1.7595836
2000,Canada,New Zealand,384.18314,221.7511
2000,Canada,Vanuatu,0.11627509,0.005952286
2000,Canada,Solomon Islands,0.008219002,0.096729927
2000,Canada,Kiribati,0.018803297,0.047025722
2000,Canada,Tuvalu,0,-9
2000,Canada,Fiji,1.3469045,2.3242879
2000,Canada,Tonga,0.11267672,0.056574628
2000,Canada,Nauru,1.0990869,0.045499772
2000,Canada,Marshall Islands,-9,-9
2000,Canada,Palau,-9,-9
2000,Canada,Federated States of Micronesia,-9,-9
2000,Canada,Samoa,0.084577769,0.38006431
2000,Bahamas,Cuba,0.20508158,0
2000,Bahamas,Haiti,0.11501198,0.23012462
2000,Bahamas,Dominican Republic,0.90050071,0.31250277
2000,Bahamas,Jamaica,2.3946912,2.8655651
2000,Bahamas,Trinidad and Tobago,23.614546,0.92373043
2000,Bahamas,Barbados,2.3319852,0.196619
2000,Bahamas,Dominica,0.078629628,0.11333334
2000,Bahamas,Grenada,4.07407E-05,0.097518519
2000,Bahamas,St. Lucia,0.001996296,0.046777777
2000,Bahamas,St. Vincent and the Grenadines,0.001262963,0.065201484
2000,Bahamas,Antigua & Barbuda,0.044341967,0.098383732
2000,Bahamas,St. Kitts and Nevis,2.97407E-05,0.009218519
2000,Bahamas,Mexico,27.233589,26.669264
2000,Bahamas,Belize,0.01595,0.24250001
2000,Bahamas,Guatemala,0.22370151,0.063440003
2000,Bahamas,Honduras,0,1.1129791
2000,Bahamas,El Salvador,0.95307189,6.4635181
2000,Bahamas,Nicaragua,0,0
2000,Bahamas,Costa Rica,4.3863821,0.38060907
2000,Bahamas,Panama,1.4310571,0.003655
2000,Bahamas,Colombia,28.949579,0.51598775
2000,Bahamas,Venezuela,122.1,0.0561
2000,Bahamas,Guyana,0,0.007621275
2000,Bahamas,Suriname,0,0.072930865
2000,Bahamas,Ecuador,3.7742684,0.031422
2000,Bahamas,Peru,2.0383325,0.011964491
2000,Bahamas,Brazil,29.357368,1.159763
2000,Bahamas,Bolivia,0.0539,0
2000,Bahamas,Paraguay,0,29.610518
2000,Bahamas,Chile,0.99000001,0
2000,Bahamas,Argentina,7.5272999,0.61299998
2000,Bahamas,Uruguay,0.43036401,0.078120001
2000,Bahamas,United Kingdom,41.835285,72.134605
2000,Bahamas,Ireland,3.65959,0.0713
2000,Bahamas,Netherlands,5.4861398,2.4398
2000,Bahamas,Belgium,33.011002,2.0828862
2000,Bahamas,Luxembourg,0.030689999,0.016899999
2000,Bahamas,France,83.502319,163.1373
2000,Bahamas,Monaco,-9,-9
2000,Bahamas,Liechtenstein,-9,-9
2000,Bahamas,Switzerland,51.058289,52.700802
2000,Bahamas,Spain,69.155792,103.5951
2000,Bahamas,Andorra,-9,-9
2000,Bahamas,Portugal,0.66495001,2.8547001
2000,Bahamas,Germany,41.082802,123.299
2000,Bahamas,Poland,5.6430001,0.185
2000,Bahamas,Austria,1.3039401,0.0017
2000,Bahamas,Hungary,0.99000001,0
2000,Bahamas,Czech Republic,0.64932901,0.48447582
2000,Bahamas,Slovakia,0.85120201,0.080068998
2000,Bahamas,Italy,636.08942,18.32
2000,Bahamas,San Marino,-9,-9
2000,Bahamas,Malta,0,0.30250886
2000,Bahamas,Albania,0,0
2000,Bahamas,Macedonia,0,0.104
2000,Bahamas,Croatia,0.14517909,1.127314
2000,Bahamas,Yugoslavia,-9,-9
2000,Bahamas,Bosnia and Herzegovina,-9,-9
2000,Bahamas,Slovenia,0.1159719,0.062263001
2000,Bahamas,Greece,28.689182,0.101645
2000,Bahamas,Cyprus,0.070666142,0.23793133
2000,Bahamas,Bulgaria,0.044,0.035999998
2000,Bahamas,Moldova,0,0.0014
2000,Bahamas,Romania,0.132,0.41999999
2000,Bahamas,Russia,95.823372,0.086965002
2000,Bahamas,Estonia,2.783,0.47
2000,Bahamas,Latvia,0.072044946,0.33408085
2000,Bahamas,Lithuania,0.95139003,0.005
2000,Bahamas,Ukraine,2.97,0.80000001
2000,Bahamas,Belarus,0.00319,0.71249998
2000,Bahamas,Armenia,0,0
2000,Bahamas,Georgia,0.77053678,0.17813329
2000,Bahamas,Azerbaijan,0,0
2000,Bahamas,Finland,0.21131,0
2000,Bahamas,Sweden,2.2952578,0.002428881
2000,Bahamas,Norway,53.368069,0
2000,Bahamas,Denmark,2.3100138,5.6231232
2000,Bahamas,Iceland,0,1.0901773
2000,Bahamas,Cape Verde,-9,-9
2000,Bahamas,Sao Tome and Principe,-9,-9
2000,Bahamas,Guinea-Bissau,0,-9
2000,Bahamas,Equatorial Guinea,-9,-9
2000,Bahamas,Gambia,0,0
2000,Bahamas,Mali,-9,0
2000,Bahamas,Senegal,0,0.004835835
2000,Bahamas,Benin,0.005259782,0
2000,Bahamas,Mauritania,-9,-9
2000,Bahamas,Niger,-9,0
2000,Bahamas,Ivory Coast,2.1057658,0
2000,Bahamas,Guinea,0,0
2000,Bahamas,Burkina Faso,-9,-9
2000,Bahamas,Liberia,0.013856865,0
2000,Bahamas,Sierra Leone,0,0
2000,Bahamas,Ghana,0,0
2000,Bahamas,Togo,0,0.0206917
2000,Bahamas,Cameroon,0,0
2000,Bahamas,Nigeria,0,0.041227806
2000,Bahamas,Gabon,0.002606083,0
2000,Bahamas,Central African Republic,-9,-9
2000,Bahamas,Chad,-9,-9
2000,Bahamas,Congo,0,0
2000,Bahamas,Democratic Republic of the Congo,0,0
2000,Bahamas,Uganda,0,0.097306937
2000,Bahamas,Kenya,0,0
2000,Bahamas,Tanzania,0,0
2000,Bahamas,Burundi,-9,-9
2000,Bahamas,Rwanda,-9,-9
2000,Bahamas,Somalia,0,0
2000,Bahamas,Djibouti,-9,-9
2000,Bahamas,Ethiopia,0,-9
2000,Bahamas,Eritrea,-9,-9
2000,Bahamas,Angola,0,0
2000,Bahamas,Mozambique,-9,-9
2000,Bahamas,Zambia,0,0.004876553
2000,Bahamas,Zimbabwe,0.23212901,0.017270701
2000,Bahamas,Malawi,0,0
2000,Bahamas,South Africa,5.2772899,1.1275079
2000,Bahamas,Namibia,-9,-9
2000,Bahamas,Lesotho,-9,-9
2000,Bahamas,Botswana,-9,-9
2000,Bahamas,Swaziland,-9,-9
2000,Bahamas,Madagascar,0.000254803,0.001336198
2000,Bahamas,Comoros,-9,-9
2000,Bahamas,Mauritius,0.041330229,0.015491841
2000,Bahamas,Seychelles,0,0
2000,Bahamas,Morocco,0.001759895,0.13655654
2000,Bahamas,Algeria,43.892799,0.017240375
2000,Bahamas,Tunisia,0.014617668,0.001011904
2000,Bahamas,Libya,0,0
2000,Bahamas,Sudan,-9,-9
2000,Bahamas,Iran,0,0
2000,Bahamas,Turkey,2.188736,1.36862
2000,Bahamas,Iraq,0,0
2000,Bahamas,Egypt,0,0
2000,Bahamas,Syria,0,0
2000,Bahamas,Lebanon,0,0.039999999
2000,Bahamas,Jordan,-9,-9
2000,Bahamas,Israel,0.33000001,0.2
2000,Bahamas,Saudi Arabia,20.613907,2.9528854
2000,Bahamas,Yemen,0,0
2000,Bahamas,Kuwait,0,0
