year,importer1,importer2,flow1,flow2
2001,United States of America,Canada,220137.8,155205.05
2001,United States of America,Bahamas,328.29999,1124.09
2001,United States of America,Cuba,0,7.48
2001,United States of America,Haiti,272,247.4409
2001,United States of America,Dominican Republic,4286.3999,5633.2935
2001,United States of America,Jamaica,496.20001,1544.2959
2001,United States of America,Trinidad and Tobago,2590.3,1323.4895
2001,United States of America,Barbados,40.900002,449.38437
2001,United States of America,Dominica,5.6999998,47.544815
2001,United States of America,Grenada,25,65.889999
2001,United States of America,St. Lucia,30.6,97.349998
2001,United States of America,St. Vincent and the Grenadines,22.700001,65.8787
2001,United States of America,Antigua & Barbuda,3.7,96.099998
2001,United States of America,St. Kitts and Nevis,44.099998,72.709999
2001,United States of America,Mexico,132777.91,125143.47
2001,United States of America,Belize,102.7,190.08
2001,United States of America,Guatemala,2746.7,1969.8068
2001,United States of America,Honduras,3248.8,1448.53
2001,United States of America,El Salvador,1934.5,2485.1746
2001,United States of America,Nicaragua,631.40002,493.77838
2001,United States of America,Costa Rica,3091.3999,1505.6979
2001,United States of America,Panama,311.89999,985.51544
2001,United States of America,Colombia,6067.5,4442.7817
2001,United States of America,Venezuela,16140.8,6257.9878
2001,United States of America,Guyana,160.60001,155.21001
2001,United States of America,Suriname,148.3,54.425316
2001,United States of America,Ecuador,2315.7,1229.0516
2001,United States of America,Peru,1969.9,1885.6172
2001,United States of America,Brazil,15258.7,14342.111
2001,United States of America,Bolivia,173.2,314.34543
2001,United States of America,Paraguay,36.5,130.23126
2001,United States of America,Chile,4083.1001,2866.74
2001,United States of America,Argentina,3256.5,3781.2068
2001,United States of America,Uruguay,240.5,273.69583
2001,United States of America,United Kingdom,42367.199,45055.82
2001,United States of America,Ireland,18626,7606.9077
2001,United States of America,Netherlands,9954.0996,20666.332
2001,United States of America,Belgium,10383.9,12430.4
2001,United States of America,Luxembourg,323.89999,597.07709
2001,United States of America,France,30984.301,24173.537
2001,United States of America,Monaco,-9,-9
2001,United States of America,Liechtenstein,-9,-9
2001,United States of America,Switzerland,9975,5645.9521
2001,United States of America,Spain,5581.5,5990.3716
2001,United States of America,Andorra,-9,-9
2001,United States of America,Portugal,1620.1,1423.8401
2001,United States of America,Germany,60492.301,40710.41
2001,United States of America,Poland,1023,1715.75
2001,United States of America,Austria,4113.1001,2866.5088
2001,United States of America,Hungary,3013.3,1410.178
2001,United States of America,Czech Republic,1172.8,1596.3239
2001,United States of America,Slovakia,250.3,313.91068
2001,United States of America,Italy,24953.5,11465.314
2001,United States of America,San Marino,-9,-9
2001,United States of America,Malta,372.39999,284.89999
2001,United States of America,Albania,7.6999998,14.30904
2001,United States of America,Macedonia,116.9,51.544834
2001,United States of America,Croatia,147.8,297.35059
2001,United States of America,Yugoslavia,-9,-9
2001,United States of America,Bosnia and Herzegovina,12.6,47.299999
2001,United States of America,Slovenia,301.39999,296.98215
2001,United States of America,Greece,554.59998,992.39178
2001,United States of America,Cyprus,36.400002,468.64984
2001,United States of America,Bulgaria,367.20001,190.614
2001,United States of America,Moldova,74.400002,28.0576
2001,United States of America,Romania,555.20001,490.70001
2001,United States of America,Russia,6531.6001,3198.6226
2001,United States of America,Estonia,258.60001,122.14
2001,United States of America,Latvia,160,64.678963
2001,United States of America,Lithuania,181.8,194.1834
2001,United States of America,Ukraine,765.29999,457.91507
2001,United States of America,Belarus,118.1,131.62849
2001,United States of America,Armenia,34.299999,84.200462
2001,United States of America,Georgia,34.799999,63.993355
2001,United States of America,Azerbaijan,24.700001,230.9332
2001,United States of America,Finland,3529.6001,1371.7627
2001,United States of America,Sweden,9128.2002,3449.8286
2001,United States of America,Norway,5472.1001,2195.9324
2001,United States of America,Denmark,3524.1001,1964.7554
2001,United States of America,Iceland,245.8,259.63251
2001,United States of America,Cape Verde,-9,-9
2001,United States of America,Sao Tome and Principe,0.30000001,11.77
2001,United States of America,Guinea-Bissau,0,0.88
2001,United States of America,Equatorial Guinea,477.10001,88.330002
2001,United States of America,Gambia,0.60000002,9.3500004
2001,United States of America,Mali,6.5,35.860001
2001,United States of America,Senegal,104.4,72.004135
2001,United States of America,Benin,1.2,29.691862
2001,United States of America,Mauritania,0.30000001,28.049999
2001,United States of America,Niger,4.9000001,18.820486
2001,United States of America,Ivory Coast,358.29999,133.67601
2001,United States of America,Guinea,106.1,35.572891
2001,United States of America,Burkina Faso,5,21.859425
2001,United States of America,Liberia,44.700001,40.48
2001,United States of America,Sierra Leone,4.6999998,30.58
2001,United States of America,Ghana,205.2,219.89
2001,United States of America,Togo,13.8,10.127642
2001,United States of America,Cameroon,111.5,145.84909
2001,United States of America,Nigeria,9179.9004,816.12738
2001,United States of America,Gabon,1734.9,81.949997
2001,United States of America,Central African Republic,2.4000001,4.0700002
2001,United States of America,Chad,6.4000001,150.81
2001,United States of America,Congo,527.29999,59.215172
2001,United States of America,Democratic Republic of the Congo,166.89999,20.459999
2001,United States of America,Uganda,20.6,28.132887
2001,United States of America,Kenya,137,495.99854
2001,United States of America,Tanzania,29.4,65.30983
2001,United States of America,Burundi,3.0999999,4.2842002
2001,United States of America,Rwanda,7.5999999,19.25
2001,United States of America,Somalia,0.30000001,7.2600002
2001,United States of America,Djibouti,0.89999998,20.459999
2001,United States of America,Ethiopia,32.200001,167.03847
2001,United States of America,Eritrea,0,21.799999
2001,United States of America,Angola,3277.3,303.70999
2001,United States of America,Mozambique,7.6999998,31.970631
2001,United States of America,Zambia,16.299999,16.232708
2001,United States of America,Zimbabwe,96.300003,48.375931
2001,United States of America,Malawi,84.199997,16.280001
2001,United States of America,South Africa,4588,3310.6553
2001,United States of America,Namibia,38.799999,255.5
2001,United States of America,Lesotho,224.10001,0.69999999
2001,United States of America,Botswana,20.9,43.400002
2001,United States of America,Swaziland,69.199997,12.1
2001,United States of America,Madagascar,285.10001,30.958166
2001,United States of America,Comoros,10.7,1.54
2001,United States of America,Mauritius,295.5,62.787209
2001,United States of America,Seychelles,24.299999,123.44769
2001,United States of America,Morocco,467.29999,407.70142
2001,United States of America,Algeria,2905.8,1025.0654
2001,United States of America,Tunisia,129.8,384.1795
2001,United States of America,Libya,0,9.8999996
2001,United States of America,Sudan,3.5999999,19.139999
2001,United States of America,Iran,148.89999,75.114769
2001,United States of America,Turkey,3254.8,3264.052
2001,United States of America,Iraq,6297.7002,51.040001
2001,United States of America,Egypt,938.90002,1832.1656
2001,United States of America,Syria,166.2,249.03999
2001,United States of America,Lebanon,92.5,515.95685
2001,United States of America,Jordan,241.89999,395.94901
2001,United States of America,Israel,12158,6703.8999
2001,United States of America,Saudi Arabia,14414.4,5542.5093
2001,United States of America,Yemen,233.2,121.89227
2001,United States of America,Kuwait,2210.7,996.27002
