statename,stateabb,year,imports,exports
United States of America,USA,2005,1732518.7,904300.3
Canada,CAN,2005,346001.5236,360650.3711
Bahamas,BHM,2005,9216.881074,2260.240201
Cuba,CUB,2005,7066.280439,2022.034993
Haiti,HAI,2005,1709.352846,512.119138
Dominican Republic,DOM,2005,10856.34115,6144.885892
Jamaica,JAM,2005,4991.885727,1534.299687
Trinidad and Tobago,TRI,2005,5273.310725,11376.69352
Barbados,BAR,2005,1600.063665,259.959212
Dominica,DMA,2005,270.0188211,83.76520959
Grenada,GRN,2005,357.0750166,66.5339613
St. Lucia,SLU,2005,684.9989988,164.1126712
St. Vincent and the Grenadines,SVG,2005,240.5276463,39.88056704
Antigua & Barbuda,AAB,2005,,185.7749409
St. Kitts and Nevis,SKN,2005,308.4699688,82.71692107
Mexico,MEX,2005,244001.4779,214232.9567
Belize,BLZ,2005,770.0586474,298.7177218
Guatemala,GUA,2005,10498.8327,5380.9312
Honduras,HON,2005,4852.543292,1892.11928
El Salvador,SAL,2005,6689.651322,3418.224497
Nicaragua,NIC,2005,2623.191409,866.0236091
Costa Rica,COS,2005,9806.593652,7025.583078
Panama,PAN,2005,4138.997306,968.509085
Colombia,COL,2005,21131.34565,21092.33787
Venezuela,VEN,2005,21853.5792,55716.41633
Guyana,GUY,2005,738.0536398,636.6157055
Suriname,SUR,2005,339.6902057,340.128253
Ecuador,ECU,2005,10286.88363,10100.03071
Peru,PER,2005,13205.91222,17291.17199
Brazil,BRA,2005,80928.37542,118478.0103
Bolivia,BOL,2005,2343.293467,2274.159294
Paraguay,PAR,2005,3363.573377,3153.87902
Chile,CHL,2005,32924.93786,41973.99248
Argentina,ARG,2005,28686.89303,40386.76702
Uruguay,URU,2005,3878.729873,3402.638107
United Kingdom,UKG,2005,519810.9662,395194.6255
Ireland,IRE,2005,68530.4227,109617.0206
Netherlands,NTH,2005,363227.515,406027.0862
Belgium,BEL,2005,318590.3631,334279.7465
Luxembourg,LUX,2005,22526.8384,19068.3161
France,FRN,2005,503796.4423,462876.7488
Monaco,MNC,2005,,
Liechtenstein,LIE,2005,,
Switzerland,SWZ,2005,126523.7992,130897.9985
Spain,SPN,2005,288979.3991,191986.2895
Andorra,AND,2005,,
Portugal,POR,2005,63877.5711,38720.4331
Germany,GMY,2005,776937.539,977088.006
Poland,POL,2005,101413.0162,89259.5114
Austria,AUS,2005,127150.6474,125012.7932
Hungary,HUN,2005,66411.9637,62808.9674
Czech Republic,CZR,2005,76506.4617,78137.32896
Slovakia,SLO,2005,34531.3027,31794.0149
Italy,ITA,2005,384687.8443,372956.5081
San Marino,SNM,2005,,
Malta,MLT,2005,3710.6572,2393.0369
Albania,ALB,2005,2616.069276,631.9022904
Montenegro,MNG,2005,270.17716,91.79809091
Macedonia,MAC,2005,3224.909124,2040.869008
Croatia,CRO,2005,18560.3663,8772.552653
Yugoslavia,YUG,2005,,
Bosnia and Herzegovina,BOS,2005,5754.124976,2174.628646
Slovenia,SLV,2005,20287.1742,19214.5623
Greece,GRC,2005,57783.6253,18535.0758
Cyprus,CYP,2005,6296.4258,1457.7779
Bulgaria,BUL,2005,18194.63336,11734.56402
Moldova,MLD,2005,2292.299,1090.3959
Romania,ROM,2005,40350.0618,27644.5257
Russia,RUS,2005,97405.19689,239284.5276
Estonia,EST,2005,10208.0238,7694.5979
Latvia,LAT,2005,8661.8981,5144.4941
Lithuania,LIT,2005,15488.2008,11764.1799
Ukraine,UKR,2005,36153.29277,33967.1567
Belarus,BLR,2005,16708.0943,15976.2377
Armenia,ARM,2005,1801.735859,973.920525
Georgia,GRG,2005,2490.718888,850.9917937
Azerbaijan,AZE,2005,4211.2201,4347.1514
Finland,FIN,2005,58692.154,65432.694
Sweden,SWD,2005,111593.3566,130914.3094
Norway,NOR,2005,55481.24373,103751.7194
Denmark,DEN,2005,75434.64518,84972.3301
Iceland,ICE,2005,4847.969313,2980.872195
Cape Verde,CAP,2005,,
Sao Tome and Principe,STP,2005,65.33375196,17.91533992
Guinea-Bissau,GNB,2005,213.183111,108.697926
Equatorial Guinea,EQG,2005,1119.881308,6188.610687
Gambia,GAM,2005,627.6215559,27.91517347
Mali,MLI,2005,2067.468295,252.1542468
Senegal,SEN,2005,3216.562163,1443.775301
Benin,BEN,2005,892.9522262,300.9329888
Mauritania,MAA,2005,1339.724896,952.2695947
Niger,NIR,2005,832.896969,297.2695988
Ivory Coast,CDI,2005,5873.404904,7251.911077
Guinea,GUI,2005,1886.048015,1324.655291
Burkina Faso,BFO,2005,1100.046719,282.1808331
Liberia,LBR,2005,5707.009491,1076.626994
Sierra Leone,SIE,2005,608.7800361,196.0798303
Ghana,GHA,2005,5919.039515,2423.321821
Togo,TOG,2005,595.9646608,364.1205647
Cameroon,CAO,2005,2525.452696,3462.515523
Nigeria,NIG,2005,24526.50192,43516.33671
Gabon,GAB,2005,1697.223479,5087.966944
Central African Republic,CEN,2005,225.3442415,114.1386396
Chad,CHA,2005,476.9883481,1980.75199
Congo,CON,2005,1639.156589,5430.425006
Democratic Republic of the Congo,DRC,2005,1687.333859,1382.536918
Uganda,UGA,2005,2053.999503,812.4880477
Kenya,KEN,2005,6864.95799,3379.688684
Tanzania,TAZ,2005,3562.094462,1493.750494
Burundi,BUI,2005,265.2873127,60.80194925
Rwanda,RWA,2005,523.2420318,171.6166522
Somalia,SOM,2005,616.3006521,242.0879164
Djibouti,DJI,2005,1206.443084,273.5927479
Ethiopia,ETH,2005,4081.570044,781.8932214
Eritrea,ERI,2005,,
Angola,ANG,2005,8214.688492,20207.95835
Mozambique,MZM,2005,2466.56,1745.2565
Zambia,ZAM,2005,2566.32911,1839.564907
Zimbabwe,ZIM,2005,2069.29332,1393.242797
Malawi,MAW,2005,744.6930202,598.2095339
South Africa,SAF,2005,59652.59496,51565.6072
Namibia,NAM,2005,,1655.913516
Lesotho,LES,2005,,508.3411104
Botswana,BOT,2005,,3747.306499
Swaziland,SWA,2005,,894.8235034
Madagascar,MAG,2005,1908.016688,848.2625041
Comoros,COM,2005,116.1064838,28.47991266
Mauritius,MAS,2005,3161.753595,2003.400225
Seychelles,SEY,2005,758.0035119,420.9788549
Morocco,MOR,2005,20489.52494,10842.11029
Algeria,ALG,2005,19851.78479,46048.02402
Tunisia,TUN,2005,13327.23582,10094.30321
Libya,LIB,2005,8779.57664,29003.73265
Sudan,SUD,2005,6689.962,4824.278
Iran,IRN,2005,38903.97787,55181.31861
Turkey,TUR,2005,116562.5321,73472.28879
Iraq,IRQ,2005,12841.87661,17632.99496
Egypt,EGY,2005,19665.34502,10575.57539
Syria,SYR,2005,14674.91186,8877.318502
Lebanon,LEB,2005,9339.858155,1822.169495
Jordan,JOR,2005,10497.68808,4301.189804
Israel,ISR,2005,44942.7,42514.1
Saudi Arabia,SAU,2005,59509.92713,154390.5334
Yemen,YEM,2005,4800.048192,5610.913565
Kuwait,KUW,2005,15238.02797,35809.71029
Bahrain,BAH,2005,6136.625381,15889.01649
Qatar,QAT,2005,10060.71408,25762.05477
United Arab Emirates,UAE,2005,108135.3255,97478.07901
Oman,OMA,2005,8823.501537,18691.81655
Afghanistan,AFG,2005,3088.050587,236.1032451
Turkmenistan,TKM,2005,2620.345776,4995.946738
Tajikistan,TAJ,2005,1330.1,908.7
Kyrgyzstan,KYR,2005,1111.59,633.77
Uzbekistan,UZB,2005,3568.748181,3616.186145
Kazakhstan,KZK,2005,17388.06784,27858.35632
China,CHN,2005,964099.5,1054332
Mongolia,MON,2005,1175.0039,1063.8832
Taiwan,TAW,2005,,247970.9244
North Korea,PRK,2005,3277.812118,1200.690817
South Korea,ROK,2005,261237.461,284340.95
Japan,JPN,2005,515219.234,594895.5004
India,IND,2005,139753.5915,98201.64968
Bhutan,BHU,2005,,
Pakistan,PAK,2005,25410.56614,16049.90254
Bangladesh,BNG,2005,13850.923,8494.4016
Myanmar,MYA,2005,3563.710222,3715.339113
Sri Lanka,SRI,2005,8863.183788,6383.645272
Maldives,MAD,2005,744.9031234,98.71699275
Nepal,NEP,2005,2070,812.6
