statename,stateabb,year,imports,exports
Sudan,SUD,2006,8073.707,5656.574
Iran,IRN,2006,40685.9838,75738.11922
Turkey,TUR,2006,139458.2844,85410.47773
Iraq,IRQ,2006,13302.7258,27503.01208
Egypt,EGY,2006,20343.74104,13555.6701
Syria,SYR,2006,17180.30384,10353.29465
Lebanon,LEB,2006,9397.022187,2229.890181
Jordan,JOR,2006,11547.48999,5204.34457
Israel,ISR,2006,47746.7,46437.8
Saudi Arabia,SAU,2006,69874.87359,195388.3702
Yemen,YEM,2006,7962.581013,6683.942569
Kuwait,KUW,2006,16569.49798,47026.15008
Bahrain,BAH,2006,7042.1556,19756.7364
Qatar,QAT,2006,16441.18094,34051.75766
United Arab Emirates,UAE,2006,122925.9456,119594.1894
Oman,OMA,2006,10893.42932,21585.1145
Afghanistan,AFG,2006,3855.775788,230.5686936
Turkmenistan,TKM,2006,2546.430717,5695.096142
Tajikistan,TAJ,2006,1725.4,1399.0223
Kyrgyzstan,KYR,2006,1710.57,796.1
Uzbekistan,UZB,2006,4491.924181,5257.90798
Kazakhstan,KZK,2006,23708.88213,38257.28497
China,CHN,2006,1131047.125,1288593.125
Mongolia,MON,2006,1431.4247,1541.9633
Taiwan,TAW,2006,,282925.2519
North Korea,PRK,2006,3609.182043,1522.068189
South Korea,ROK,2006,309380.978,325359.832
Japan,JPN,2006,578745.6463,646797.8079
India,IND,2006,176601.4023,120531.9942
Bhutan,BHU,2006,,
Pakistan,PAK,2006,34195.86504,16512.16368
Bangladesh,BNG,2006,16095.62893,11650.27456
Myanmar,MYA,2006,3912.398677,4543.234573
Sri Lanka,SRI,2006,10253,6883
Maldives,MAD,2006,880.5149149,162.8517183
Nepal,NEP,2006,2397.692889,829.5882823
Thailand,THI,2006,130605.4129,130562.2
Cambodia,CAM,2006,2979.372987,3569.347247
Laos,LAO,2006,1652.586525,1226.678085
Vietnam,DRV,2006,44891.1,39826.2
Malaysia,MAL,2006,130476.6181,160658.6067
Singapore,SIN,2006,238797.3653,272057.3111
Brunei,BRU,2006,1897.824883,7029.188675
Philippines,PHI,2006,51532.59447,46985.50192
Indonesia,INS,2006,61065.39466,100797.8381
East Timor,ETM,2006,,
Australia,AUL,2006,146125.8039,121847.3354
Papua New Guinea,PNG,2006,2362.085226,6532.270832
New Zealand,NEW,2006,26362.91629,22441.28621
Vanuatu,VAN,2006,271.1114837,217.350426
Solomon Islands,SOL,2006,256.1771761,239.3905517
Kiribati,KIR,2006,,9.757163677
Tuvalu,TUV,2006,,6.897072078
Fiji,FIJ,2006,1592.4498,940.6570244
Tonga,TON,2006,138.9002278,22.14122878
Nauru,NAU,2006,,27.20817925
Marshall Islands,MSI,2006,,
Palau,PAL,2006,,
Federated States of Micronesia,FSM,2006,,
Samoa,WSM,2006,317.5236569,131.3199354
