statename,stateabb,year,imports,exports
United States of America,USA,2011,2264979.6,1480528.2
Canada,CAN,2011,496620.7927,451334.2169
Bahamas,BHM,2011,13543.53532,2509.232004
Cuba,CUB,2011,11533.79414,3452.4652
Haiti,HAI,2011,4865.177585,815.7803591
Dominican Republic,DOM,2011,19149.53502,8491.841
Jamaica,JAM,2011,6439.322539,1695.094421
Trinidad and Tobago,TRI,2011,8458.005912,19363.70183
Barbados,BAR,2011,2643.172092,484.5365536
Dominica,DMA,2011,544.4813864,200.3437457
Grenada,GRN,2011,507.493684,109.3687752
St. Lucia,SLU,2011,4175.548554,91.40932967
St. Vincent and the Grenadines,SVG,2011,711.3026894,92.28744813
Antigua & Barbuda,AAB,2011,,92.78162911
St. Kitts and Nevis,SKN,2011,1139.66323,98.68099014
Mexico,MEX,2011,385927.1651,349433.3886
Belize,BLZ,2011,1101.582459,456.0265958
Guatemala,GUA,2011,16445.8374,10345.9659
Honduras,HON,2011,9016.154452,3959.800526
El Salvador,SAL,2011,9964.503322,5308.126685
Nicaragua,NIC,2011,5197.077226,2263.998907
Costa Rica,COS,2011,16219.53861,10408.43151
Panama,PAN,2011,11135.03517,770.991079
Colombia,COL,2011,54674.80769,56508.86974
Venezuela,VEN,2011,36228.95695,91338.172
Guyana,GUY,2011,1968.681109,1399.492127
Suriname,SUR,2011,501.4418738,732.8560631
Ecuador,ECU,2011,24286.06421,22345.20536
Peru,PER,2011,41811.2231,45859.89737
Brazil,BRA,2011,248832.6464,256037.7527
Bolivia,BOL,2011,7611.461146,9039.737428
Paraguay,PAR,2011,12703.79113,7763.502475
Chile,CHL,2011,74694.89093,81437.84385
Argentina,ARG,2011,73437.75187,82131.27041
Uruguay,URU,2011,13559.11163,9185.963543
United Kingdom,UKG,2011,651060.6953,468229.7895
Ireland,IRE,2011,66277.7989,121066.6657
Netherlands,NTH,2011,589296.7805,655407.9846
Belgium,BEL,2011,463451.9653,461829.8289
Luxembourg,LUX,2011,28812.4939,20815.0414
France,FRN,2011,707065.1407,584795.9763
Switzerland,SWZ,2011,208279.9244,234862.0983
Spain,SPN,2011,373371.1644,300168.8693
Portugal,POR,2011,82462.3706,59172.6156
Germany,GMY,2011,1240151.41,1393885.8
Poland,POL,2011,202647.4327,182319.5625
Austria,AUS,2011,188796.2739,171783.2863
Hungary,HUN,2011,100935.3086,109518.355
Czech Republic,CZR,2011,151343.527,161707.8078
Slovakia,SLO,2011,78127.1372,75175.0486
Italy,ITA,2011,528138.6818,515507.3511
Malta,MLT,2011,6215.5786,3222.0499
Albania,ALB,2011,5318.652576,1951.500865
Montenegro,MNG,2011,2534.58754,631.0412951
Macedonia,MAC,2011,6142.600966,4279.64795
Croatia,CRO,2011,22708.237,13374.835
Bosnia and Herzegovina,BOS,2011,8418.083799,4230.335976
Slovenia,SLV,2011,35488.9984,34701.9364
Greece,GRC,2011,66900.235,33203.8446
Cyprus,CYP,2011,8631.8614,1691.4075
Bulgaria,BUL,2011,32212.8694,27684.4934
Moldova,MLD,2011,5181.234,2213.5903
Romania,ROM,2011,76076.4117,62076.3706
Russia,RUS,2011,295358.8017,495883.0386
Estonia,EST,2011,16016.8302,15401.8289
Latvia,LAT,2011,16141.7627,12820.5738
Lithuania,LIT,2011,31501.0046,27546.0055
Ukraine,UKR,2011,82606.93023,68411.55744
Belarus,BLR,2011,45759.0512,41418.6696
Armenia,ARM,2011,4144.59927,1334.33881
Georgia,GRG,2011,7057.660442,2189.13193
Azerbaijan,AZE,2011,9755.91,26570.898
Finland,FIN,2011,83344.2884,77052.4022
Sweden,SWD,2011,174762.6448,175670.7986
Norway,NOR,2011,90787.64971,160305.3283
Denmark,DEN,2011,94147.8087,107732.117
Iceland,ICE,2011,4832.867197,5336.293181
Sao Tome and Principe,STP,2011,111.559898,8.981971898
Guinea-Bissau,GNB,2011,351.8717454,345.9562746
Equatorial Guinea,EQG,2011,2433.75611,11663.45389
Gambia,GAM,2011,1148.540169,132.0771114
Mali,MLI,2011,3878.947424,434.2303709
Senegal,SEN,2011,5325.020072,2372.562045
Benin,BEN,2011,10300.52623,863.7109854
Mauritania,MAA,2011,3469.438387,3050.384067
Niger,NIR,2011,1635.428219,543.524931
Ivory Coast,CDI,2011,6702.404313,11076.39773
Guinea,GUI,2011,5255.313696,2225.142017
Burkina Faso,BFO,2011,2200.372632,779.8565609
Liberia,LBR,2011,19340.40943,752.2004689
Sierra Leone,SIE,2011,1571.218228,358.0315188
Ghana,GHA,2011,16995.13803,8578.032377
Togo,TOG,2011,1858.73973,846.3378253
Cameroon,CAO,2011,5749.353337,5370.485738
Nigeria,NIG,2011,59234.86424,106107.5749
Gabon,GAB,2011,3682.72576,10139.33117
Central African Republic,CEN,2011,919.2021257,152.2948035
Chad,CHA,2011,952.7213612,3556.085028
Congo,CON,2011,4361.357526,11015.29932
Democratic Republic of the Congo,DRC,2011,5594.679295,5977.908396
Uganda,UGA,2011,4594.324021,1656.005968
Kenya,KEN,2011,14561.784,5667.598148
Tanzania,TAZ,2011,10780.63,3116.959187
Burundi,BUI,2011,755.5884934,123.9820047
Rwanda,RWA,2011,1229.327638,397.1354743
Somalia,SOM,2011,1788.966907,602.2410908
Djibouti,DJI,2011,3511.153063,534.1270884
Ethiopia,ETH,2011,9927.918037,2171.403197
Angola,ANG,2011,17257.18839,59837.393
Mozambique,MZM,2011,7763.850636,3594.250049
Zambia,ZAM,2011,7279.682714,8828.354705
Zimbabwe,ZIM,2011,4961.55579,2515.614638
Malawi,MAW,2011,1452.48353,1074.093445
South Africa,SAF,2011,109590.4442,97415.19948
Namibia,NAM,2011,,3244.163572
Lesotho,LES,2011,,782.3711993
Botswana,BOT,2011,,5170.175838
Swaziland,SWA,2011,,790.1299529
Madagascar,MAG,2011,3225.644323,1651.728574
Comoros,COM,2011,226.7888608,53.12109981
Mauritius,MAS,2011,5148.787565,2173.577486
Seychelles,SEY,2011,1114.201732,362.4651243
Morocco,MOR,2011,43625.66615,20790.29739
Algeria,ALG,2011,47197.7171,73411.92385
Tunisia,TUN,2011,23524.75027,17161.3572
Libya,LIB,2011,8257.926086,16679.46046
Sudan,SUD,2011,9227.178,9688.841
Iran,IRN,2011,95914.89222,129976.6336
Turkey,TUR,2011,240841.6763,134906.8569
Iraq,IRQ,2011,37096.51423,71211.55272
Egypt,EGY,2011,62155.82833,31528.72784
Syria,SYR,2011,27517.43044,16793.95875
Lebanon,LEB,2011,20050.51162,4201.102174
Jordan,JOR,2011,18929.76577,6732.343662
Israel,ISR,2011,73535.6,67260.6
Saudi Arabia,SAU,2011,129207.3882,330262.8186
Yemen,YEM,2011,10433.22246,9681.949091
Kuwait,KUW,2011,25484.57577,86791.56533
Bahrain,BAH,2011,12680.81229,33564.9474
Qatar,QAT,2011,22333.09415,114446.959
United Arab Emirates,UAE,2011,218413.1845,240403.0025
Oman,OMA,2011,23618.72255,47091.55062
Afghanistan,AFG,2011,10591.08174,464.7924193
Turkmenistan,TKM,2011,7744.586622,7753.086716
Tajikistan,TAJ,2011,4771.023853,993.9775791
Kyrgyzstan,KYR,2011,9078.24844,1128.99898
Uzbekistan,UZB,2011,10719.03644,5648.243655
Kazakhstan,KZK,2011,21181.42877,80517.56853
China,CHN,2011,2233242.75,2329347
Mongolia,MON,2011,6953.004444,3882.341796
Taiwan,TAW,2011,,372151.843
North Korea,PRK,2011,4573.550469,3486.555699
South Korea,ROK,2011,524374.2013,555399.2428
Japan,JPN,2011,854997.9501,822564.1456
India,IND,2011,465075.9941,307071.285
Pakistan,PAK,2011,51002.98503,25642.0182
Bangladesh,BNG,2011,36192.72034,23099.94093
Myanmar,MYA,2011,13693.61713,8317.083141
Sri Lanka,SRI,2011,20663.88367,11394.11343
Maldives,MAD,2011,1485.945616,195.4670003
Nepal,NEP,2011,5108.886884,828.7391425
Thailand,THI,2011,229137.4026,220220.907
Cambodia,CAM,2011,6141.115823,6701.704255
Laos,LAO,2011,4635.367759,3120.851964
Vietnam,DRV,2011,104509.72,92880.54
Malaysia,MAL,2011,187640.1976,228289.154
Singapore,SIN,2011,366059.3703,410130.919
Brunei,BRU,2011,6405.729593,11483.90941
Philippines,PHI,2011,66158.70728,48042.18973
Indonesia,INS,2011,177435.2696,203496.002
Australia,AUL,2011,257976.4105,270805.2664
Papua New Guinea,PNG,2011,7119.189791,12051.77801
New Zealand,NEW,2011,36721.70195,37499.73991
Vanuatu,VAN,2011,551.7437101,228.1004684
Solomon Islands,SOL,2011,524.2164496,605.8074615
Kiribati,KIR,2011,,58.89983939
Tuvalu,TUV,2011,,5.580697646
Fiji,FIJ,2011,2110.508495,1313.906847
Tonga,TON,2011,202.25382,17.15328301
Nauru,NAU,2011,,122.0301264
Samoa,WSM,2011,493.0313452,138.2324713
