country,id,year,imports,exports
Iraq,IRQ,1996,568.3800044,502.984072
Egypt,EGY,1996,13019.61178,3534.486462
Syria,SYR,1996,5331.545657,7534.57461
Lebanon,LBN,1996,7559.509494,1153.377097
Jordan,JOR,1996,4316.424231,1466.576164
Israel,ISR,1996,29938.4,20338.8
Saudi Arabia,SAU,1996,27764.94553,60790.12631
Yemen,YEM,1996,1852.25511,2412.865072
Kuwait,KWT,1996,8373.796963,13687.87154
Bahrain,BHR,1996,4092.563808,4601.95228
Qatar,QAT,1996,3402.869479,4398.915317
United Arab Emirates,ARE,1996,22638,27689.52455
Oman,OMN,1996,4605.180444,7225.297262
Afghanistan,AFG,1996,660.7962764,128.048777
Turkmenistan,TKM,1996,1313.457,1692.581
Tajikistan,TJK,1996,668.0901,771.5324
Kyrgyzstan,KGZ,1996,795.2,505.933
Uzbekistan,UZB,1996,4854.125058,2619.649349
Kazakhstan,KAZ,1996,4246.7206,5926.2681
China,CHN,1996,138948.63,151164.637
Mongolia,MNG,1996,450.94,424.29
Taiwan,TWN,1996,,129813.9938
North Korea,PRK,1996,1983.434253,1017.194578
South Korea,KOR,1996,150156.8,137698.682
Japan,JPN,1996,349663.6324,411574.1838
India,IND,1996,36054.75849,32323.64239
Bhutan,BTN,1996,,
Pakistan,PAK,1996,12149.88158,9300.220595
Bangladesh,BGD,1996,6934.925231,3297.161478
Myanmar,MMR,1996,2677.769569,1183.021277
Sri Lanka,LKA,1996,4740,4089
Maldives,MDV,1996,300.135514,59.30331351
Nepal,NPL,1996,1348.3,360.1
Thailand,THA,1996,74938.60318,56451.10181
Cambodia,KHM,1996,1632.033936,292.7488153
Laos,LAO,1996,689.6,320.7
Vietnam,VNM,1996,11284.931,7461.550873
Malaysia,MYS,1996,78457.65982,78214.43214
Singapore,SGP,1996,131337.7193,125167.4038
Brunei,BRN,1996,3516.47,3669.64
Philippines,PHL,1996,31867,20562
Indonesia,IDN,1996,42902.19206,49890.08473
Australia,AUS,1996,67716.4533,60310.06319
Papua New Guinea,PNG,1996,1882.307657,3111.047671
New Zealand,NZL,1996,14762.14051,14372.35056
Vanuatu,VUT,1996,173.8940352,39.0713042
Solomon Islands,SLB,1996,166.874196,242.9646571
Kiribati,KIR,1996,,12.33597312
Tuvalu,TUV,1996,,1.280037713
Fiji,FJI,1996,986.61576,752.8698254
Tonga,TON,1996,74.6631101,12.58536573
Nauru,NRU,1996,,44.52022536
Marshall Islands,MHL,1996,,
Palau,PLW,1996,,
Federated States of Micronesia,FSM,1996,,
Samoa,WSM,1996,162.8724293,64.75405478
